"","r","k","nodes","pareto","count_pareto","p_pareto","p_count_pareto","edges","p_edges","mean_in","mean_out","max_in","max_out","mean_pareto_in","max_pareto_in","pareto_num_path","pareto_mean_path"
"1",NA,NA,6111,2,517,0.0052,0.0051,14094,2.3063,2.3063,2.3063,43,40,0.002,9,36,14.2222
"2",NA,NA,1514,0,0,0,0,2884,1.9049,1.9049,1.9049,21,16,0,0,0,NA
"3",NA,NA,3819,0,0,0,0,8752,2.2917,2.2917,2.2917,39,33,0,0,0,NA
"4",NA,NA,1289,0,0,0,0,3740,2.9015,2.9015,2.9015,37,29,0,0,0,NA
"5",NA,NA,607,0,0,0,0,1280,2.1087,2.1087,2.1087,19,16,0,0,0,NA
"6",NA,NA,1057,0,0,0,0,2847,2.6935,2.6935,2.6935,31,24,0,0,0,NA
