"","r","k","nodes","pareto","count_pareto","p_pareto","p_count_pareto","edges","p_edges","mean_in","mean_out","max_in","max_out","mean_pareto_in","max_pareto_in","pareto_num_path","pareto_mean_path"
"1",NA,NA,22175,0,0,0,0,33969,1.5319,1.5319,1.5319,11,14,0,0,0,NA
"2",NA,NA,5376,0,0,0,0,6950,1.2928,1.2928,1.2928,7,6,0,0,0,NA
"3",NA,NA,15776,0,0,0,0,23284,1.4759,1.4759,1.4759,11,14,0,0,0,NA
"4",NA,NA,3017,0,0,0,0,8901,2.9503,2.9503,2.9503,50,54,0,0,0,NA
"5",NA,NA,1163,0,0,0,0,2659,2.2863,2.2863,2.2863,25,24,0,0,0,NA
"6",NA,NA,2509,0,0,0,0,6930,2.7621,2.7621,2.7621,41,36,0,0,0,NA
