"","r","k","nodes","pareto","count_pareto","p_pareto","p_count_pareto","edges","p_edges","mean_in","mean_out","max_in","max_out","mean_pareto_in","max_pareto_in","pareto_num_path","pareto_mean_path"
"1",NA,NA,14962,0,0,0,0,29255,1.9553,1.9553,1.9553,36,35,0,0,0,NA
"2",NA,NA,3535,0,0,0,0,5979,1.6914,1.6914,1.6914,25,18,0,0,0,NA
"3",NA,NA,10434,0,0,0,0,20120,1.9283,1.9283,1.9283,28,34,0,0,0,NA
"4",NA,NA,1837,0,0,0,0,6415,3.4921,3.4921,3.4921,52,45,0,0,0,NA
"5",NA,NA,841,0,0,0,0,2068,2.459,2.459,2.459,28,24,0,0,0,NA
"6",NA,NA,1691,0,0,0,0,5216,3.0846,3.0846,3.0846,37,35,0,0,0,NA
