"","r","k","nodes","pareto","count_pareto","p_pareto","p_count_pareto","edges","p_edges","mean_in","mean_out","max_in","max_out","mean_pareto_in","max_pareto_in","pareto_num_path","pareto_mean_path"
"1",NA,NA,16619,0,0,0,0,29938,1.8014,1.8014,1.8014,21,21,0,0,0,NA
"2",NA,NA,4519,0,0,0,0,6325,1.3996,1.3996,1.3996,8,9,0,0,0,NA
"3",NA,NA,12675,0,0,0,0,20973,1.6547,1.6547,1.6547,13,16,0,0,0,NA
