"","r","k","nodes","pareto","count_pareto","p_pareto","p_count_pareto","edges","p_edges","mean_in","mean_out","max_in","max_out","mean_pareto_in","max_pareto_in","pareto_num_path","pareto_mean_path"
"1",NA,NA,23247,2,72,0.0052,7e-04,42666,1.8353,1.8353,1.8353,17,25,3e-04,4,8,29
"2",NA,NA,4104,0,0,0,0,5760,1.4035,1.4035,1.4035,6,8,0,0,0,NA
"3",NA,NA,15226,0,0,0,0,25676,1.6863,1.6863,1.6863,13,16,0,0,0,NA
"4",NA,NA,2505,0,0,0,0,6959,2.778,2.778,2.778,37,28,0,0,0,NA
"5",NA,NA,986,0,0,0,0,1833,1.859,1.859,1.859,17,16,0,0,0,NA
"6",NA,NA,1911,0,0,0,0,4442,2.3244,2.3244,2.3244,29,22,0,0,0,NA
