Generation 0 | Revalues: 100 | GridSize: 10
Generation 1 | Revalues: 274 | GridSize: 10
Generation 2 | Revalues: 498 | GridSize: 14
Generation 3 | Revalues: 706 | GridSize: 13
Generation 4 | Revalues: 904 | GridSize: 14
Generation 5 | Revalues: 1116 | GridSize: 15
Generation 6 | Revalues: 1302 | GridSize: 15
Generation 7 | Revalues: 1498 | GridSize: 17
Generation 8 | Revalues: 1704 | GridSize: 17
Generation 9 | Revalues: 1916 | GridSize: 20
Generation 10 | Revalues: 2126 | GridSize: 23
Generation 11 | Revalues: 2318 | GridSize: 25
Generation 12 | Revalues: 2530 | GridSize: 26
Generation 13 | Revalues: 2736 | GridSize: 28
Generation 14 | Revalues: 2896 | GridSize: 30
Generation 15 | Revalues: 3098 | GridSize: 30
Generation 16 | Revalues: 3312 | GridSize: 26
Generation 17 | Revalues: 3502 | GridSize: 28
Generation 18 | Revalues: 3718 | GridSize: 27
Generation 19 | Revalues: 3926 | GridSize: 28
Generation 20 | Revalues: 4098 | GridSize: 29
Generation 21 | Revalues: 4298 | GridSize: 29
Generation 22 | Revalues: 4490 | GridSize: 28
Generation 23 | Revalues: 4700 | GridSize: 30
Generation 24 | Revalues: 4908 | GridSize: 32
Generation 25 | Revalues: 5114 | GridSize: 33
Generation 26 | Revalues: 5326 | GridSize: 33
Generation 27 | Revalues: 5544 | GridSize: 33
Generation 28 | Revalues: 5748 | GridSize: 33
Generation 29 | Revalues: 5948 | GridSize: 34
Generation 30 | Revalues: 6136 | GridSize: 36
Generation 31 | Revalues: 6330 | GridSize: 34
Generation 32 | Revalues: 6544 | GridSize: 34
Generation 33 | Revalues: 6730 | GridSize: 35
Generation 34 | Revalues: 6944 | GridSize: 36
Generation 35 | Revalues: 7138 | GridSize: 37
Generation 36 | Revalues: 7302 | GridSize: 39
Generation 37 | Revalues: 7500 | GridSize: 39
Generation 38 | Revalues: 7712 | GridSize: 43
Generation 39 | Revalues: 7908 | GridSize: 40
Generation 40 | Revalues: 8112 | GridSize: 42
Generation 41 | Revalues: 8300 | GridSize: 44
Generation 42 | Revalues: 8504 | GridSize: 48
Generation 43 | Revalues: 8674 | GridSize: 50
Generation 44 | Revalues: 8864 | GridSize: 49
Generation 45 | Revalues: 9050 | GridSize: 45
Generation 46 | Revalues: 9258 | GridSize: 44
Generation 47 | Revalues: 9460 | GridSize: 48
Generation 48 | Revalues: 9638 | GridSize: 45
Generation 49 | Revalues: 9826 | GridSize: 45
Generation 50 | Revalues: 10032 | GridSize: 46
Generation 51 | Revalues: 10234 | GridSize: 48
Generation 52 | Revalues: 10420 | GridSize: 47
Generation 53 | Revalues: 10624 | GridSize: 46
Generation 54 | Revalues: 10820 | GridSize: 47
Generation 55 | Revalues: 11042 | GridSize: 48
Generation 56 | Revalues: 11244 | GridSize: 50
Generation 57 | Revalues: 11444 | GridSize: 49
Generation 58 | Revalues: 11662 | GridSize: 51
Generation 59 | Revalues: 11866 | GridSize: 54
Generation 60 | Revalues: 12080 | GridSize: 52
Generation 61 | Revalues: 12274 | GridSize: 50
Generation 62 | Revalues: 12492 | GridSize: 55
Generation 63 | Revalues: 12702 | GridSize: 55
Generation 64 | Revalues: 12900 | GridSize: 56
Generation 65 | Revalues: 13086 | GridSize: 59
Generation 66 | Revalues: 13274 | GridSize: 60
Generation 67 | Revalues: 13492 | GridSize: 58
Generation 68 | Revalues: 13692 | GridSize: 59
Generation 69 | Revalues: 13906 | GridSize: 60
Generation 70 | Revalues: 14118 | GridSize: 59
Generation 71 | Revalues: 14314 | GridSize: 61
Generation 72 | Revalues: 14522 | GridSize: 64
Generation 73 | Revalues: 14720 | GridSize: 64
Generation 74 | Revalues: 14916 | GridSize: 69
Generation 75 | Revalues: 15118 | GridSize: 69
Generation 76 | Revalues: 15316 | GridSize: 69
Generation 77 | Revalues: 15498 | GridSize: 64
Generation 78 | Revalues: 15714 | GridSize: 65
Generation 79 | Revalues: 15892 | GridSize: 66
Generation 80 | Revalues: 16074 | GridSize: 62
Generation 81 | Revalues: 16268 | GridSize: 57
Generation 82 | Revalues: 16480 | GridSize: 57
Generation 83 | Revalues: 16670 | GridSize: 59
Generation 84 | Revalues: 16866 | GridSize: 54
Generation 85 | Revalues: 17064 | GridSize: 57
Generation 86 | Revalues: 17258 | GridSize: 56
Generation 87 | Revalues: 17440 | GridSize: 56
