Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 334 | GridSize: 5
Generation 2 | Revalues: 568 | GridSize: 8
Generation 3 | Revalues: 792 | GridSize: 10
Generation 4 | Revalues: 1018 | GridSize: 8
Generation 5 | Revalues: 1210 | GridSize: 12
Generation 6 | Revalues: 1430 | GridSize: 8
Generation 7 | Revalues: 1670 | GridSize: 10
Generation 8 | Revalues: 1910 | GridSize: 9
Generation 9 | Revalues: 2136 | GridSize: 8
Generation 10 | Revalues: 2346 | GridSize: 12
Generation 11 | Revalues: 2560 | GridSize: 16
Generation 12 | Revalues: 2768 | GridSize: 14
Generation 13 | Revalues: 2990 | GridSize: 14
Generation 14 | Revalues: 3206 | GridSize: 17
Generation 15 | Revalues: 3434 | GridSize: 19
Generation 16 | Revalues: 3668 | GridSize: 19
Generation 17 | Revalues: 3872 | GridSize: 15
Generation 18 | Revalues: 4092 | GridSize: 16
Generation 19 | Revalues: 4316 | GridSize: 19
Generation 20 | Revalues: 4546 | GridSize: 16
Generation 21 | Revalues: 4758 | GridSize: 19
Generation 22 | Revalues: 4952 | GridSize: 19
Generation 23 | Revalues: 5160 | GridSize: 22
Generation 24 | Revalues: 5390 | GridSize: 22
Generation 25 | Revalues: 5628 | GridSize: 23
Generation 26 | Revalues: 5860 | GridSize: 24
Generation 27 | Revalues: 6066 | GridSize: 23
Generation 28 | Revalues: 6268 | GridSize: 25
Generation 29 | Revalues: 6462 | GridSize: 26
Generation 30 | Revalues: 6702 | GridSize: 25
Generation 31 | Revalues: 6914 | GridSize: 25
Generation 32 | Revalues: 7130 | GridSize: 24
Generation 33 | Revalues: 7346 | GridSize: 24
Generation 34 | Revalues: 7586 | GridSize: 25
Generation 35 | Revalues: 7810 | GridSize: 25
Generation 36 | Revalues: 8040 | GridSize: 26
Generation 37 | Revalues: 8274 | GridSize: 26
Generation 38 | Revalues: 8510 | GridSize: 25
Generation 39 | Revalues: 8714 | GridSize: 28
Generation 40 | Revalues: 8940 | GridSize: 28
Generation 41 | Revalues: 9138 | GridSize: 27
Generation 42 | Revalues: 9360 | GridSize: 25
Generation 43 | Revalues: 9582 | GridSize: 27
Generation 44 | Revalues: 9780 | GridSize: 28
Generation 45 | Revalues: 10032 | GridSize: 26
Generation 46 | Revalues: 10270 | GridSize: 26
Generation 47 | Revalues: 10500 | GridSize: 28
Generation 48 | Revalues: 10722 | GridSize: 29
Generation 49 | Revalues: 10942 | GridSize: 28
Generation 50 | Revalues: 11158 | GridSize: 30
Generation 51 | Revalues: 11374 | GridSize: 30
Generation 52 | Revalues: 11586 | GridSize: 31
Generation 53 | Revalues: 11808 | GridSize: 31
Generation 54 | Revalues: 12006 | GridSize: 32
Generation 55 | Revalues: 12228 | GridSize: 32
Generation 56 | Revalues: 12428 | GridSize: 34
Generation 57 | Revalues: 12662 | GridSize: 35
Generation 58 | Revalues: 12886 | GridSize: 36
Generation 59 | Revalues: 13070 | GridSize: 36
Generation 60 | Revalues: 13308 | GridSize: 38
Generation 61 | Revalues: 13528 | GridSize: 39
Generation 62 | Revalues: 13738 | GridSize: 37
Generation 63 | Revalues: 13956 | GridSize: 37
Generation 64 | Revalues: 14152 | GridSize: 39
Generation 65 | Revalues: 14384 | GridSize: 39
Generation 66 | Revalues: 14610 | GridSize: 38
Generation 67 | Revalues: 14818 | GridSize: 38
Generation 68 | Revalues: 15046 | GridSize: 38
Generation 69 | Revalues: 15250 | GridSize: 39
Generation 70 | Revalues: 15476 | GridSize: 38
Generation 71 | Revalues: 15668 | GridSize: 38
Generation 72 | Revalues: 15890 | GridSize: 38
Generation 73 | Revalues: 16122 | GridSize: 32
Generation 74 | Revalues: 16334 | GridSize: 33
Generation 75 | Revalues: 16554 | GridSize: 34
Generation 76 | Revalues: 16784 | GridSize: 34
Generation 77 | Revalues: 17024 | GridSize: 33
Generation 78 | Revalues: 17264 | GridSize: 33
Generation 79 | Revalues: 17480 | GridSize: 35
Generation 80 | Revalues: 17706 | GridSize: 34
Generation 81 | Revalues: 17906 | GridSize: 35
Generation 82 | Revalues: 18126 | GridSize: 35
Generation 83 | Revalues: 18308 | GridSize: 34
Generation 84 | Revalues: 18520 | GridSize: 33
Generation 85 | Revalues: 18718 | GridSize: 35
Generation 86 | Revalues: 18950 | GridSize: 35
Generation 87 | Revalues: 19192 | GridSize: 37
Generation 88 | Revalues: 19408 | GridSize: 40
Generation 89 | Revalues: 19610 | GridSize: 42
Generation 90 | Revalues: 19832 | GridSize: 41
Generation 91 | Revalues: 20062 | GridSize: 37
Generation 92 | Revalues: 20280 | GridSize: 38
Generation 93 | Revalues: 20484 | GridSize: 39
Generation 94 | Revalues: 20696 | GridSize: 39
Generation 95 | Revalues: 20910 | GridSize: 40
Generation 96 | Revalues: 21124 | GridSize: 41
Generation 97 | Revalues: 21322 | GridSize: 44
Generation 98 | Revalues: 21540 | GridSize: 44
Generation 99 | Revalues: 21768 | GridSize: 44
Generation 100 | Revalues: 21994 | GridSize: 45
Generation 101 | Revalues: 22204 | GridSize: 46
Generation 102 | Revalues: 22424 | GridSize: 47
Generation 103 | Revalues: 22610 | GridSize: 47
Generation 104 | Revalues: 22820 | GridSize: 48
Generation 105 | Revalues: 23046 | GridSize: 51
