Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 292 | GridSize: 5
Generation 2 | Revalues: 498 | GridSize: 13
Generation 3 | Revalues: 698 | GridSize: 12
Generation 4 | Revalues: 894 | GridSize: 20
Generation 5 | Revalues: 1084 | GridSize: 20
Generation 6 | Revalues: 1244 | GridSize: 21
Generation 7 | Revalues: 1442 | GridSize: 22
Generation 8 | Revalues: 1646 | GridSize: 20
Generation 9 | Revalues: 1836 | GridSize: 18
Generation 10 | Revalues: 2026 | GridSize: 14
Generation 11 | Revalues: 2204 | GridSize: 17
Generation 12 | Revalues: 2422 | GridSize: 15
Generation 13 | Revalues: 2616 | GridSize: 14
Generation 14 | Revalues: 2772 | GridSize: 16
Generation 15 | Revalues: 2960 | GridSize: 16
Generation 16 | Revalues: 3162 | GridSize: 18
Generation 17 | Revalues: 3368 | GridSize: 20
Generation 18 | Revalues: 3570 | GridSize: 20
Generation 19 | Revalues: 3780 | GridSize: 17
Generation 20 | Revalues: 3994 | GridSize: 22
Generation 21 | Revalues: 4214 | GridSize: 26
Generation 22 | Revalues: 4422 | GridSize: 27
Generation 23 | Revalues: 4626 | GridSize: 35
Generation 24 | Revalues: 4822 | GridSize: 36
Generation 25 | Revalues: 5024 | GridSize: 33
Generation 26 | Revalues: 5232 | GridSize: 32
Generation 27 | Revalues: 5398 | GridSize: 32
Generation 28 | Revalues: 5586 | GridSize: 33
Generation 29 | Revalues: 5784 | GridSize: 35
Generation 30 | Revalues: 5966 | GridSize: 38
Generation 31 | Revalues: 6140 | GridSize: 36
Generation 32 | Revalues: 6342 | GridSize: 40
Generation 33 | Revalues: 6550 | GridSize: 39
Generation 34 | Revalues: 6758 | GridSize: 45
Generation 35 | Revalues: 6970 | GridSize: 51
Generation 36 | Revalues: 7178 | GridSize: 49
Generation 37 | Revalues: 7408 | GridSize: 54
Generation 38 | Revalues: 7602 | GridSize: 55
Generation 39 | Revalues: 7790 | GridSize: 54
Generation 40 | Revalues: 7982 | GridSize: 54
