Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 304 | GridSize: 7
Generation 2 | Revalues: 536 | GridSize: 9
Generation 3 | Revalues: 736 | GridSize: 11
Generation 4 | Revalues: 952 | GridSize: 12
Generation 5 | Revalues: 1174 | GridSize: 14
Generation 6 | Revalues: 1390 | GridSize: 13
Generation 7 | Revalues: 1622 | GridSize: 13
Generation 8 | Revalues: 1852 | GridSize: 16
Generation 9 | Revalues: 2082 | GridSize: 13
Generation 10 | Revalues: 2272 | GridSize: 10
Generation 11 | Revalues: 2478 | GridSize: 12
Generation 12 | Revalues: 2686 | GridSize: 12
Generation 13 | Revalues: 2914 | GridSize: 11
Generation 14 | Revalues: 3138 | GridSize: 14
Generation 15 | Revalues: 3368 | GridSize: 12
Generation 16 | Revalues: 3590 | GridSize: 11
Generation 17 | Revalues: 3796 | GridSize: 13
Generation 18 | Revalues: 4024 | GridSize: 15
Generation 19 | Revalues: 4228 | GridSize: 14
Generation 20 | Revalues: 4448 | GridSize: 12
Generation 21 | Revalues: 4670 | GridSize: 13
Generation 22 | Revalues: 4868 | GridSize: 13
Generation 23 | Revalues: 5086 | GridSize: 15
Generation 24 | Revalues: 5340 | GridSize: 15
Generation 25 | Revalues: 5542 | GridSize: 15
Generation 26 | Revalues: 5788 | GridSize: 15
Generation 27 | Revalues: 6010 | GridSize: 16
Generation 28 | Revalues: 6204 | GridSize: 20
Generation 29 | Revalues: 6434 | GridSize: 19
Generation 30 | Revalues: 6662 | GridSize: 22
Generation 31 | Revalues: 6870 | GridSize: 21
Generation 32 | Revalues: 7058 | GridSize: 20
Generation 33 | Revalues: 7270 | GridSize: 20
Generation 34 | Revalues: 7472 | GridSize: 20
Generation 35 | Revalues: 7682 | GridSize: 16
Generation 36 | Revalues: 7896 | GridSize: 16
Generation 37 | Revalues: 8108 | GridSize: 17
Generation 38 | Revalues: 8318 | GridSize: 19
Generation 39 | Revalues: 8514 | GridSize: 20
Generation 40 | Revalues: 8740 | GridSize: 20
Generation 41 | Revalues: 8964 | GridSize: 22
Generation 42 | Revalues: 9182 | GridSize: 22
Generation 43 | Revalues: 9392 | GridSize: 25
Generation 44 | Revalues: 9618 | GridSize: 25
Generation 45 | Revalues: 9860 | GridSize: 22
Generation 46 | Revalues: 10092 | GridSize: 21
Generation 47 | Revalues: 10308 | GridSize: 20
Generation 48 | Revalues: 10522 | GridSize: 21
Generation 49 | Revalues: 10740 | GridSize: 23
Generation 50 | Revalues: 10954 | GridSize: 22
Generation 51 | Revalues: 11164 | GridSize: 25
Generation 52 | Revalues: 11392 | GridSize: 22
Generation 53 | Revalues: 11606 | GridSize: 22
Generation 54 | Revalues: 11812 | GridSize: 22
Generation 55 | Revalues: 12020 | GridSize: 23
Generation 56 | Revalues: 12226 | GridSize: 24
Generation 57 | Revalues: 12440 | GridSize: 27
Generation 58 | Revalues: 12666 | GridSize: 30
Generation 59 | Revalues: 12864 | GridSize: 30
Generation 60 | Revalues: 13094 | GridSize: 34
Generation 61 | Revalues: 13322 | GridSize: 38
Generation 62 | Revalues: 13558 | GridSize: 39
Generation 63 | Revalues: 13784 | GridSize: 41
Generation 64 | Revalues: 13966 | GridSize: 43
Generation 65 | Revalues: 14176 | GridSize: 42
Generation 66 | Revalues: 14410 | GridSize: 42
Generation 67 | Revalues: 14620 | GridSize: 43
Generation 68 | Revalues: 14860 | GridSize: 44
Generation 69 | Revalues: 15088 | GridSize: 39
Generation 70 | Revalues: 15298 | GridSize: 40
Generation 71 | Revalues: 15530 | GridSize: 40
Generation 72 | Revalues: 15756 | GridSize: 42
Generation 73 | Revalues: 15958 | GridSize: 43
Generation 74 | Revalues: 16158 | GridSize: 46
Generation 75 | Revalues: 16378 | GridSize: 44
Generation 76 | Revalues: 16576 | GridSize: 39
Generation 77 | Revalues: 16798 | GridSize: 40
Generation 78 | Revalues: 16998 | GridSize: 40
Generation 79 | Revalues: 17224 | GridSize: 40
Generation 80 | Revalues: 17436 | GridSize: 40
Generation 81 | Revalues: 17660 | GridSize: 40
Generation 82 | Revalues: 17880 | GridSize: 41
Generation 83 | Revalues: 18090 | GridSize: 43
Generation 84 | Revalues: 18338 | GridSize: 43
Generation 85 | Revalues: 18526 | GridSize: 46
Generation 86 | Revalues: 18754 | GridSize: 46
Generation 87 | Revalues: 18966 | GridSize: 47
Generation 88 | Revalues: 19176 | GridSize: 48
Generation 89 | Revalues: 19414 | GridSize: 49
Generation 90 | Revalues: 19592 | GridSize: 50
Generation 91 | Revalues: 19802 | GridSize: 53
Generation 92 | Revalues: 20048 | GridSize: 53
Generation 93 | Revalues: 20256 | GridSize: 53
Generation 94 | Revalues: 20496 | GridSize: 53
Generation 95 | Revalues: 20716 | GridSize: 54
Generation 96 | Revalues: 20950 | GridSize: 54
Generation 97 | Revalues: 21180 | GridSize: 55
Generation 98 | Revalues: 21394 | GridSize: 55
Generation 99 | Revalues: 21612 | GridSize: 55
Generation 100 | Revalues: 21806 | GridSize: 56
Generation 101 | Revalues: 22012 | GridSize: 56
Generation 102 | Revalues: 22222 | GridSize: 57
Generation 103 | Revalues: 22462 | GridSize: 57
Generation 104 | Revalues: 22678 | GridSize: 57
Generation 105 | Revalues: 22880 | GridSize: 59
Generation 106 | Revalues: 23104 | GridSize: 59
Generation 107 | Revalues: 23310 | GridSize: 59
Generation 108 | Revalues: 23546 | GridSize: 59
Generation 109 | Revalues: 23754 | GridSize: 55
Generation 110 | Revalues: 23972 | GridSize: 54
Generation 111 | Revalues: 24180 | GridSize: 56
Generation 112 | Revalues: 24390 | GridSize: 56
Generation 113 | Revalues: 24600 | GridSize: 56
Generation 114 | Revalues: 24834 | GridSize: 55
Generation 115 | Revalues: 25054 | GridSize: 56
Generation 116 | Revalues: 25284 | GridSize: 57
Generation 117 | Revalues: 25510 | GridSize: 57
Generation 118 | Revalues: 25716 | GridSize: 58
Generation 119 | Revalues: 25938 | GridSize: 59
Generation 120 | Revalues: 26176 | GridSize: 59
Generation 121 | Revalues: 26404 | GridSize: 60
Generation 122 | Revalues: 26630 | GridSize: 61
Generation 123 | Revalues: 26862 | GridSize: 61
Generation 124 | Revalues: 27090 | GridSize: 61
Generation 125 | Revalues: 27302 | GridSize: 60
Generation 126 | Revalues: 27542 | GridSize: 61
Generation 127 | Revalues: 27772 | GridSize: 61
Generation 128 | Revalues: 27984 | GridSize: 61
Generation 129 | Revalues: 28212 | GridSize: 61
Generation 130 | Revalues: 28448 | GridSize: 62
Generation 131 | Revalues: 28668 | GridSize: 62
Generation 132 | Revalues: 28910 | GridSize: 62
Generation 133 | Revalues: 29144 | GridSize: 61
Generation 134 | Revalues: 29356 | GridSize: 62
Generation 135 | Revalues: 29598 | GridSize: 62
Generation 136 | Revalues: 29802 | GridSize: 63
Generation 137 | Revalues: 30036 | GridSize: 63
Generation 138 | Revalues: 30264 | GridSize: 63
Generation 139 | Revalues: 30490 | GridSize: 63
Generation 140 | Revalues: 30684 | GridSize: 64
Generation 141 | Revalues: 30894 | GridSize: 64
Generation 142 | Revalues: 31086 | GridSize: 64
Generation 143 | Revalues: 31292 | GridSize: 64
Generation 144 | Revalues: 31480 | GridSize: 64
Generation 145 | Revalues: 31742 | GridSize: 64
Generation 146 | Revalues: 31964 | GridSize: 64
Generation 147 | Revalues: 32180 | GridSize: 64
Generation 148 | Revalues: 32378 | GridSize: 64
Generation 149 | Revalues: 32580 | GridSize: 62
Generation 150 | Revalues: 32788 | GridSize: 63
Generation 151 | Revalues: 33002 | GridSize: 63
Generation 152 | Revalues: 33252 | GridSize: 63
Generation 153 | Revalues: 33482 | GridSize: 63
Generation 154 | Revalues: 33704 | GridSize: 64
Generation 155 | Revalues: 33938 | GridSize: 64
Generation 156 | Revalues: 34146 | GridSize: 64
Generation 157 | Revalues: 34356 | GridSize: 64
Generation 158 | Revalues: 34574 | GridSize: 65
Generation 159 | Revalues: 34772 | GridSize: 65
Generation 160 | Revalues: 35008 | GridSize: 65
Generation 161 | Revalues: 35232 | GridSize: 65
Generation 162 | Revalues: 35468 | GridSize: 65
Generation 163 | Revalues: 35688 | GridSize: 65
Generation 164 | Revalues: 35950 | GridSize: 66
Generation 165 | Revalues: 36182 | GridSize: 66
Generation 166 | Revalues: 36418 | GridSize: 61
Generation 167 | Revalues: 36650 | GridSize: 62
Generation 168 | Revalues: 36878 | GridSize: 62
Generation 169 | Revalues: 37122 | GridSize: 63
Generation 170 | Revalues: 37352 | GridSize: 63
Generation 171 | Revalues: 37574 | GridSize: 58
Generation 172 | Revalues: 37808 | GridSize: 57
Generation 173 | Revalues: 38018 | GridSize: 54
Generation 174 | Revalues: 38222 | GridSize: 56
Generation 175 | Revalues: 38450 | GridSize: 56
Generation 176 | Revalues: 38664 | GridSize: 56
Generation 177 | Revalues: 38904 | GridSize: 50
Generation 178 | Revalues: 39114 | GridSize: 50
Generation 179 | Revalues: 39348 | GridSize: 50
Generation 180 | Revalues: 39592 | GridSize: 50
Generation 181 | Revalues: 39810 | GridSize: 51
Generation 182 | Revalues: 40022 | GridSize: 52
Generation 183 | Revalues: 40230 | GridSize: 53
Generation 184 | Revalues: 40446 | GridSize: 53
Generation 185 | Revalues: 40652 | GridSize: 54
Generation 186 | Revalues: 40892 | GridSize: 50
Generation 187 | Revalues: 41118 | GridSize: 52
Generation 188 | Revalues: 41316 | GridSize: 52
Generation 189 | Revalues: 41564 | GridSize: 52
Generation 190 | Revalues: 41784 | GridSize: 51
Generation 191 | Revalues: 42030 | GridSize: 51
Generation 192 | Revalues: 42236 | GridSize: 52
Generation 193 | Revalues: 42460 | GridSize: 53
Generation 194 | Revalues: 42656 | GridSize: 53
Generation 195 | Revalues: 42854 | GridSize: 53
Generation 196 | Revalues: 43060 | GridSize: 53
Generation 197 | Revalues: 43274 | GridSize: 54
Generation 198 | Revalues: 43472 | GridSize: 54
Generation 199 | Revalues: 43706 | GridSize: 54
Generation 200 | Revalues: 43930 | GridSize: 54
Generation 201 | Revalues: 44126 | GridSize: 54
Generation 202 | Revalues: 44340 | GridSize: 54
Generation 203 | Revalues: 44562 | GridSize: 54
Generation 204 | Revalues: 44772 | GridSize: 53
Generation 205 | Revalues: 45000 | GridSize: 54
Generation 206 | Revalues: 45242 | GridSize: 54
Generation 207 | Revalues: 45454 | GridSize: 53
Generation 208 | Revalues: 45686 | GridSize: 53
Generation 209 | Revalues: 45880 | GridSize: 50
Generation 210 | Revalues: 46086 | GridSize: 50
Generation 211 | Revalues: 46316 | GridSize: 51
Generation 212 | Revalues: 46520 | GridSize: 51
Generation 213 | Revalues: 46726 | GridSize: 51
Generation 214 | Revalues: 46942 | GridSize: 52
Generation 215 | Revalues: 47174 | GridSize: 54
Generation 216 | Revalues: 47380 | GridSize: 55
Generation 217 | Revalues: 47604 | GridSize: 55
Generation 218 | Revalues: 47824 | GridSize: 55
Generation 219 | Revalues: 48050 | GridSize: 54
Generation 220 | Revalues: 48270 | GridSize: 54
Generation 221 | Revalues: 48482 | GridSize: 54
Generation 222 | Revalues: 48700 | GridSize: 55
Generation 223 | Revalues: 48924 | GridSize: 52
Generation 224 | Revalues: 49134 | GridSize: 52
Generation 225 | Revalues: 49334 | GridSize: 52
Generation 226 | Revalues: 49576 | GridSize: 52
Generation 227 | Revalues: 49776 | GridSize: 53
Generation 228 | Revalues: 50004 | GridSize: 53
Generation 229 | Revalues: 50220 | GridSize: 53
Generation 230 | Revalues: 50420 | GridSize: 53
Generation 231 | Revalues: 50626 | GridSize: 54
Generation 232 | Revalues: 50850 | GridSize: 54
Generation 233 | Revalues: 51062 | GridSize: 54
Generation 234 | Revalues: 51302 | GridSize: 54
Generation 235 | Revalues: 51510 | GridSize: 52
Generation 236 | Revalues: 51742 | GridSize: 54
Generation 237 | Revalues: 51960 | GridSize: 54
Generation 238 | Revalues: 52182 | GridSize: 54
Generation 239 | Revalues: 52374 | GridSize: 55
Generation 240 | Revalues: 52620 | GridSize: 55
Generation 241 | Revalues: 52842 | GridSize: 56
Generation 242 | Revalues: 53066 | GridSize: 56
Generation 243 | Revalues: 53290 | GridSize: 60
Generation 244 | Revalues: 53508 | GridSize: 60
Generation 245 | Revalues: 53728 | GridSize: 60
Generation 246 | Revalues: 53954 | GridSize: 61
Generation 247 | Revalues: 54154 | GridSize: 62
Generation 248 | Revalues: 54378 | GridSize: 63
Generation 249 | Revalues: 54588 | GridSize: 64
Generation 250 | Revalues: 54814 | GridSize: 64
Generation 251 | Revalues: 55036 | GridSize: 64
Generation 252 | Revalues: 55272 | GridSize: 64
Generation 253 | Revalues: 55470 | GridSize: 64
Generation 254 | Revalues: 55682 | GridSize: 64
Generation 255 | Revalues: 55928 | GridSize: 64
Generation 256 | Revalues: 56148 | GridSize: 64
Generation 257 | Revalues: 56332 | GridSize: 64
Generation 258 | Revalues: 56540 | GridSize: 64
Generation 259 | Revalues: 56752 | GridSize: 64
Generation 260 | Revalues: 56982 | GridSize: 64
Generation 261 | Revalues: 57196 | GridSize: 64
Generation 262 | Revalues: 57424 | GridSize: 64
Generation 263 | Revalues: 57664 | GridSize: 64
Generation 264 | Revalues: 57874 | GridSize: 65
Generation 265 | Revalues: 58090 | GridSize: 65
Generation 266 | Revalues: 58312 | GridSize: 65
Generation 267 | Revalues: 58518 | GridSize: 65
Generation 268 | Revalues: 58730 | GridSize: 65
Generation 269 | Revalues: 58956 | GridSize: 65
Generation 270 | Revalues: 59168 | GridSize: 67
Generation 271 | Revalues: 59364 | GridSize: 65
Generation 272 | Revalues: 59574 | GridSize: 66
Generation 273 | Revalues: 59832 | GridSize: 66
Generation 274 | Revalues: 60074 | GridSize: 66
Generation 275 | Revalues: 60294 | GridSize: 66
Generation 276 | Revalues: 60514 | GridSize: 63
Generation 277 | Revalues: 60720 | GridSize: 63
Generation 278 | Revalues: 60928 | GridSize: 63
Generation 279 | Revalues: 61162 | GridSize: 63
Generation 280 | Revalues: 61360 | GridSize: 63
Generation 281 | Revalues: 61610 | GridSize: 63
Generation 282 | Revalues: 61808 | GridSize: 63
Generation 283 | Revalues: 62024 | GridSize: 63
Generation 284 | Revalues: 62248 | GridSize: 64
