Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 280 | GridSize: 11
Generation 2 | Revalues: 470 | GridSize: 18
Generation 3 | Revalues: 662 | GridSize: 10
Generation 4 | Revalues: 860 | GridSize: 10
Generation 5 | Revalues: 1074 | GridSize: 12
Generation 6 | Revalues: 1296 | GridSize: 17
Generation 7 | Revalues: 1488 | GridSize: 20
Generation 8 | Revalues: 1694 | GridSize: 24
Generation 9 | Revalues: 1886 | GridSize: 25
Generation 10 | Revalues: 2092 | GridSize: 28
Generation 11 | Revalues: 2298 | GridSize: 34
Generation 12 | Revalues: 2510 | GridSize: 33
Generation 13 | Revalues: 2722 | GridSize: 23
Generation 14 | Revalues: 2920 | GridSize: 27
Generation 15 | Revalues: 3130 | GridSize: 33
Generation 16 | Revalues: 3340 | GridSize: 40
Generation 17 | Revalues: 3530 | GridSize: 41
Generation 18 | Revalues: 3722 | GridSize: 43
Generation 19 | Revalues: 3928 | GridSize: 42
Generation 20 | Revalues: 4162 | GridSize: 48
Generation 21 | Revalues: 4362 | GridSize: 48
Generation 22 | Revalues: 4562 | GridSize: 47
Generation 23 | Revalues: 4758 | GridSize: 48
Generation 24 | Revalues: 4942 | GridSize: 49
Generation 25 | Revalues: 5140 | GridSize: 52
Generation 26 | Revalues: 5362 | GridSize: 50
Generation 27 | Revalues: 5572 | GridSize: 55
Generation 28 | Revalues: 5774 | GridSize: 53
Generation 29 | Revalues: 5974 | GridSize: 55
Generation 30 | Revalues: 6178 | GridSize: 55
Generation 31 | Revalues: 6370 | GridSize: 52
Generation 32 | Revalues: 6606 | GridSize: 46
Generation 33 | Revalues: 6812 | GridSize: 51
Generation 34 | Revalues: 7006 | GridSize: 55
Generation 35 | Revalues: 7192 | GridSize: 52
Generation 36 | Revalues: 7408 | GridSize: 52
Generation 37 | Revalues: 7616 | GridSize: 52
Generation 38 | Revalues: 7798 | GridSize: 47
Generation 39 | Revalues: 8012 | GridSize: 49
Generation 40 | Revalues: 8230 | GridSize: 44
Generation 41 | Revalues: 8426 | GridSize: 44
Generation 42 | Revalues: 8606 | GridSize: 49
Generation 43 | Revalues: 8798 | GridSize: 38
Generation 44 | Revalues: 9010 | GridSize: 41
Generation 45 | Revalues: 9190 | GridSize: 42
Generation 46 | Revalues: 9408 | GridSize: 42
Generation 47 | Revalues: 9608 | GridSize: 48
Generation 48 | Revalues: 9812 | GridSize: 53
Generation 49 | Revalues: 10010 | GridSize: 50
Generation 50 | Revalues: 10210 | GridSize: 53
Generation 51 | Revalues: 10400 | GridSize: 53
Generation 52 | Revalues: 10620 | GridSize: 59
Generation 53 | Revalues: 10808 | GridSize: 59
Generation 54 | Revalues: 11004 | GridSize: 62
Generation 55 | Revalues: 11210 | GridSize: 68
Generation 56 | Revalues: 11414 | GridSize: 68
Generation 57 | Revalues: 11596 | GridSize: 66
Generation 58 | Revalues: 11804 | GridSize: 67
Generation 59 | Revalues: 11990 | GridSize: 72
Generation 60 | Revalues: 12176 | GridSize: 74
Generation 61 | Revalues: 12366 | GridSize: 77
Generation 62 | Revalues: 12576 | GridSize: 76
Generation 63 | Revalues: 12776 | GridSize: 78
Generation 64 | Revalues: 12984 | GridSize: 77
Generation 65 | Revalues: 13182 | GridSize: 71
Generation 66 | Revalues: 13390 | GridSize: 74
Generation 67 | Revalues: 13604 | GridSize: 71
Generation 68 | Revalues: 13786 | GridSize: 71
Generation 69 | Revalues: 13984 | GridSize: 76
Generation 70 | Revalues: 14182 | GridSize: 82
Generation 71 | Revalues: 14370 | GridSize: 80
Generation 72 | Revalues: 14552 | GridSize: 86
Generation 73 | Revalues: 14740 | GridSize: 86
Generation 74 | Revalues: 14950 | GridSize: 87
Generation 75 | Revalues: 15134 | GridSize: 89
Generation 76 | Revalues: 15336 | GridSize: 90
Generation 77 | Revalues: 15544 | GridSize: 89
Generation 78 | Revalues: 15736 | GridSize: 85
Generation 79 | Revalues: 15942 | GridSize: 89
Generation 80 | Revalues: 16146 | GridSize: 85
Generation 81 | Revalues: 16344 | GridSize: 88
Generation 82 | Revalues: 16542 | GridSize: 89
Generation 83 | Revalues: 16740 | GridSize: 86
Generation 84 | Revalues: 16926 | GridSize: 84
Generation 85 | Revalues: 17142 | GridSize: 87
Generation 86 | Revalues: 17328 | GridSize: 89
Generation 87 | Revalues: 17540 | GridSize: 86
Generation 88 | Revalues: 17734 | GridSize: 79
Generation 89 | Revalues: 17906 | GridSize: 79
Generation 90 | Revalues: 18098 | GridSize: 76
Generation 91 | Revalues: 18306 | GridSize: 84
Generation 92 | Revalues: 18506 | GridSize: 83
Generation 93 | Revalues: 18680 | GridSize: 88
Generation 94 | Revalues: 18892 | GridSize: 92
Generation 95 | Revalues: 19080 | GridSize: 96
Generation 96 | Revalues: 19298 | GridSize: 93
Generation 97 | Revalues: 19478 | GridSize: 93
Generation 98 | Revalues: 19666 | GridSize: 93
Generation 99 | Revalues: 19860 | GridSize: 88
Generation 100 | Revalues: 20074 | GridSize: 78
Generation 101 | Revalues: 20278 | GridSize: 85
Generation 102 | Revalues: 20488 | GridSize: 74
Generation 103 | Revalues: 20714 | GridSize: 81
Generation 104 | Revalues: 20906 | GridSize: 85
Generation 105 | Revalues: 21128 | GridSize: 88
Generation 106 | Revalues: 21314 | GridSize: 88
Generation 107 | Revalues: 21524 | GridSize: 89
Generation 108 | Revalues: 21736 | GridSize: 90
Generation 109 | Revalues: 21950 | GridSize: 83
Generation 110 | Revalues: 22168 | GridSize: 77
Generation 111 | Revalues: 22350 | GridSize: 72
Generation 112 | Revalues: 22544 | GridSize: 78
Generation 113 | Revalues: 22756 | GridSize: 84
Generation 114 | Revalues: 22984 | GridSize: 85
Generation 115 | Revalues: 23192 | GridSize: 83
Generation 116 | Revalues: 23380 | GridSize: 87
Generation 117 | Revalues: 23592 | GridSize: 89
Generation 118 | Revalues: 23792 | GridSize: 89
Generation 119 | Revalues: 24002 | GridSize: 85
Generation 120 | Revalues: 24214 | GridSize: 85
Generation 121 | Revalues: 24420 | GridSize: 83
Generation 122 | Revalues: 24624 | GridSize: 82
Generation 123 | Revalues: 24832 | GridSize: 88
Generation 124 | Revalues: 25032 | GridSize: 87
Generation 125 | Revalues: 25246 | GridSize: 86
Generation 126 | Revalues: 25412 | GridSize: 86
Generation 127 | Revalues: 25622 | GridSize: 91
Generation 128 | Revalues: 25826 | GridSize: 99
Generation 129 | Revalues: 26024 | GridSize: 94
Generation 130 | Revalues: 26220 | GridSize: 92
Generation 131 | Revalues: 26412 | GridSize: 93
Generation 132 | Revalues: 26626 | GridSize: 92
Generation 133 | Revalues: 26826 | GridSize: 93
Generation 134 | Revalues: 27010 | GridSize: 91
Generation 135 | Revalues: 27180 | GridSize: 92
Generation 136 | Revalues: 27388 | GridSize: 96
Generation 137 | Revalues: 27590 | GridSize: 100
Generation 138 | Revalues: 27806 | GridSize: 98
Generation 139 | Revalues: 27998 | GridSize: 96
Generation 140 | Revalues: 28230 | GridSize: 101
Generation 141 | Revalues: 28416 | GridSize: 104
Generation 142 | Revalues: 28648 | GridSize: 107
Generation 143 | Revalues: 28844 | GridSize: 107
Generation 144 | Revalues: 29054 | GridSize: 105
Generation 145 | Revalues: 29258 | GridSize: 104
Generation 146 | Revalues: 29468 | GridSize: 102
Generation 147 | Revalues: 29652 | GridSize: 101
Generation 148 | Revalues: 29818 | GridSize: 105
Generation 149 | Revalues: 30026 | GridSize: 103
Generation 150 | Revalues: 30224 | GridSize: 96
Generation 151 | Revalues: 30424 | GridSize: 92
Generation 152 | Revalues: 30632 | GridSize: 91
Generation 153 | Revalues: 30860 | GridSize: 90
Generation 154 | Revalues: 31048 | GridSize: 93
Generation 155 | Revalues: 31240 | GridSize: 93
Generation 156 | Revalues: 31454 | GridSize: 92
Generation 157 | Revalues: 31628 | GridSize: 96
Generation 158 | Revalues: 31838 | GridSize: 92
Generation 159 | Revalues: 32036 | GridSize: 94
Generation 160 | Revalues: 32242 | GridSize: 91
Generation 161 | Revalues: 32434 | GridSize: 89
Generation 162 | Revalues: 32638 | GridSize: 89
Generation 163 | Revalues: 32816 | GridSize: 90
Generation 164 | Revalues: 33020 | GridSize: 93
Generation 165 | Revalues: 33194 | GridSize: 94
Generation 166 | Revalues: 33398 | GridSize: 95
Generation 167 | Revalues: 33612 | GridSize: 95
Generation 168 | Revalues: 33830 | GridSize: 99
Generation 169 | Revalues: 34030 | GridSize: 101
Generation 170 | Revalues: 34234 | GridSize: 105
Generation 171 | Revalues: 34448 | GridSize: 102
Generation 172 | Revalues: 34624 | GridSize: 101
Generation 173 | Revalues: 34796 | GridSize: 104
Generation 174 | Revalues: 35010 | GridSize: 105
Generation 175 | Revalues: 35218 | GridSize: 107
Generation 176 | Revalues: 35414 | GridSize: 107
Generation 177 | Revalues: 35612 | GridSize: 107
Generation 178 | Revalues: 35808 | GridSize: 106
Generation 179 | Revalues: 36006 | GridSize: 109
Generation 180 | Revalues: 36202 | GridSize: 111
Generation 181 | Revalues: 36412 | GridSize: 113
Generation 182 | Revalues: 36606 | GridSize: 113
Generation 183 | Revalues: 36808 | GridSize: 114
Generation 184 | Revalues: 36994 | GridSize: 116
Generation 185 | Revalues: 37186 | GridSize: 119
Generation 186 | Revalues: 37382 | GridSize: 124
Generation 187 | Revalues: 37610 | GridSize: 122
Generation 188 | Revalues: 37814 | GridSize: 124
Generation 189 | Revalues: 37998 | GridSize: 123
Generation 190 | Revalues: 38222 | GridSize: 122
Generation 191 | Revalues: 38414 | GridSize: 122
Generation 192 | Revalues: 38628 | GridSize: 124
Generation 193 | Revalues: 38828 | GridSize: 123
Generation 194 | Revalues: 39020 | GridSize: 116
Generation 195 | Revalues: 39234 | GridSize: 119
Generation 196 | Revalues: 39430 | GridSize: 121
Generation 197 | Revalues: 39610 | GridSize: 120
Generation 198 | Revalues: 39808 | GridSize: 122
Generation 199 | Revalues: 39996 | GridSize: 122
Generation 200 | Revalues: 40168 | GridSize: 123
Generation 201 | Revalues: 40354 | GridSize: 124
Generation 202 | Revalues: 40552 | GridSize: 124
Generation 203 | Revalues: 40736 | GridSize: 122
Generation 204 | Revalues: 40930 | GridSize: 123
Generation 205 | Revalues: 41122 | GridSize: 124
Generation 206 | Revalues: 41328 | GridSize: 126
Generation 207 | Revalues: 41514 | GridSize: 129
Generation 208 | Revalues: 41720 | GridSize: 126
Generation 209 | Revalues: 41928 | GridSize: 128
Generation 210 | Revalues: 42112 | GridSize: 133
Generation 211 | Revalues: 42330 | GridSize: 135
Generation 212 | Revalues: 42520 | GridSize: 131
Generation 213 | Revalues: 42704 | GridSize: 130
Generation 214 | Revalues: 42898 | GridSize: 132
Generation 215 | Revalues: 43120 | GridSize: 136
Generation 216 | Revalues: 43314 | GridSize: 137
Generation 217 | Revalues: 43524 | GridSize: 131
Generation 218 | Revalues: 43726 | GridSize: 133
Generation 219 | Revalues: 43928 | GridSize: 136
Generation 220 | Revalues: 44138 | GridSize: 133
Generation 221 | Revalues: 44332 | GridSize: 132
Generation 222 | Revalues: 44538 | GridSize: 133
