instance,algo,pool,run,wind,our_nd,cec_nd,our_cost_min,cec_cost_min,our_power_max,cec_power_max,d_cost_min_abs,d_cost_min_pct,d_power_max_abs,d_power_max_pct,C_cec_ours,C_ours_cec
ns202,nsga2,p100_i50,2,"300deg, 21 m/s",300,300,87536788.35408339,87648131.71222167,4261098.71484375,4260602.02734375,-111343.35813827813,-0.12703449116731416,496.6875,0.011657683510742195,0.04666666666666667,0.8766666666666667
ns202,nsga2,p100_i50,3,"270deg, 16 m/s",300,300,87766556.06708081,87535038.17743595,2008084.96484375,2008084.96484375,231517.88964486122,0.2644859640953923,0.0,0.0,0.19333333333333333,0.74
ns202,nsga2,p100_i50,4,"240deg, 13 m/s",300,300,86890936.87187032,87365927.46139571,1074665.4248046875,1074665.4248046875,-474990.5895253867,-0.5436794449818784,0.0,0.0,0.3466666666666667,0.39666666666666667
ns202,nsga2,p100_i50,5,"240deg, 7 m/s",300,300,87383052.58886392,87734760.50745103,48424.641784668,48424.641784668,-351707.9185871035,-0.4008763647986867,0.0,0.0,0.21666666666666667,0.6333333333333333
ns202,nsga2,p100_i50,6,"180deg, 15 m/s",300,300,87356926.9815945,87668240.04332584,1654607.68359375,1654607.68359375,-311313.0617313385,-0.3551035832103928,0.0,0.0,0.38,0.44666666666666666
ns202,nsga2,p100_i50,7,"300deg, 16 m/s",300,300,87503273.96414705,87600960.94325638,1989926.609375,1991167.16796875,-97686.97910933197,-0.11151359306732812,-1240.55859375,-0.06230308603448557,0.15333333333333332,0.73
ns202,nsga2,p100_i50,8,"150deg, 10 m/s",300,299,87588493.76425245,87370460.16751711,407666.4375,407430.5029296875,218033.59673534334,0.2495507020534208,235.9345703125,0.057907929969891456,0.04666666666666667,0.8695652173913043
ns202,nsga2,p100_i50,9,"210deg, 11 m/s",300,300,87589815.17624322,87442547.42333072,633597.8779296875,633597.8779296875,147267.75291249156,0.16841658580637228,0.0,0.0,0.9566666666666667,0.0033333333333333335
ns203,moead,p100_i50,0,"240deg, 12 m/s",300,300,84499570.94190979,84507074.79599433,905589.4765625,904187.9189453124,-7503.854084536433,-0.00887955724730886,1401.5576171876164,0.15500733728254848,0.8033333333333333,0.07666666666666666
ns203,moead,p100_i50,1,"300deg, 7 m/s",253,209,84482642.73128293,84486110.53080222,45015.8605041504,45015.8605041504,-3467.7995192855597,-0.0041045794361917725,0.0,0.0,0.5810276679841897,0.41626794258373206
ns203,moead,p100_i50,2,"150deg, 10 m/s",289,268,84483476.65344521,84490517.72197577,435638.837890625,435638.837890625,-7041.06853055954,-0.008333560641359612,0.0,0.0,0.24567474048442905,0.667910447761194
