Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 294 | GridSize: 18
Generation 2 | Revalues: 510 | GridSize: 36
Generation 3 | Revalues: 716 | GridSize: 36
Generation 4 | Revalues: 904 | GridSize: 42
Generation 5 | Revalues: 1114 | GridSize: 40
Generation 6 | Revalues: 1306 | GridSize: 42
Generation 7 | Revalues: 1500 | GridSize: 44
Generation 8 | Revalues: 1704 | GridSize: 43
Generation 9 | Revalues: 1910 | GridSize: 45
Generation 10 | Revalues: 2136 | GridSize: 53
Generation 11 | Revalues: 2330 | GridSize: 54
Generation 12 | Revalues: 2504 | GridSize: 50
Generation 13 | Revalues: 2714 | GridSize: 51
Generation 14 | Revalues: 2926 | GridSize: 55
Generation 15 | Revalues: 3142 | GridSize: 59
Generation 16 | Revalues: 3354 | GridSize: 58
Generation 17 | Revalues: 3552 | GridSize: 65
Generation 18 | Revalues: 3742 | GridSize: 68
Generation 19 | Revalues: 3934 | GridSize: 72
Generation 20 | Revalues: 4104 | GridSize: 73
Generation 21 | Revalues: 4294 | GridSize: 78
Generation 22 | Revalues: 4500 | GridSize: 70
Generation 23 | Revalues: 4690 | GridSize: 84
Generation 24 | Revalues: 4896 | GridSize: 85
Generation 25 | Revalues: 5080 | GridSize: 87
Generation 26 | Revalues: 5294 | GridSize: 92
Generation 27 | Revalues: 5500 | GridSize: 86
Generation 28 | Revalues: 5704 | GridSize: 88
Generation 29 | Revalues: 5896 | GridSize: 89
Generation 30 | Revalues: 6124 | GridSize: 84
Generation 31 | Revalues: 6326 | GridSize: 87
Generation 32 | Revalues: 6558 | GridSize: 91
Generation 33 | Revalues: 6748 | GridSize: 91
Generation 34 | Revalues: 6930 | GridSize: 89
Generation 35 | Revalues: 7130 | GridSize: 92
Generation 36 | Revalues: 7320 | GridSize: 89
Generation 37 | Revalues: 7512 | GridSize: 81
Generation 38 | Revalues: 7708 | GridSize: 82
Generation 39 | Revalues: 7898 | GridSize: 83
Generation 40 | Revalues: 8108 | GridSize: 81
Generation 41 | Revalues: 8300 | GridSize: 84
Generation 42 | Revalues: 8492 | GridSize: 76
Generation 43 | Revalues: 8686 | GridSize: 81
Generation 44 | Revalues: 8880 | GridSize: 69
Generation 45 | Revalues: 9084 | GridSize: 75
Generation 46 | Revalues: 9296 | GridSize: 80
Generation 47 | Revalues: 9504 | GridSize: 85
Generation 48 | Revalues: 9694 | GridSize: 85
Generation 49 | Revalues: 9910 | GridSize: 89
Generation 50 | Revalues: 10096 | GridSize: 82
Generation 51 | Revalues: 10312 | GridSize: 78
Generation 52 | Revalues: 10502 | GridSize: 79
Generation 53 | Revalues: 10698 | GridSize: 84
Generation 54 | Revalues: 10876 | GridSize: 81
Generation 55 | Revalues: 11074 | GridSize: 80
Generation 56 | Revalues: 11254 | GridSize: 89
Generation 57 | Revalues: 11442 | GridSize: 90
Generation 58 | Revalues: 11632 | GridSize: 77
Generation 59 | Revalues: 11818 | GridSize: 92
Generation 60 | Revalues: 12012 | GridSize: 99
Generation 61 | Revalues: 12196 | GridSize: 87
Generation 62 | Revalues: 12390 | GridSize: 84
Generation 63 | Revalues: 12586 | GridSize: 89
Generation 64 | Revalues: 12792 | GridSize: 83
Generation 65 | Revalues: 12994 | GridSize: 79
Generation 66 | Revalues: 13212 | GridSize: 68
Generation 67 | Revalues: 13398 | GridSize: 73
Generation 68 | Revalues: 13594 | GridSize: 79
Generation 69 | Revalues: 13792 | GridSize: 79
Generation 70 | Revalues: 13982 | GridSize: 83
Generation 71 | Revalues: 14172 | GridSize: 88
Generation 72 | Revalues: 14358 | GridSize: 91
Generation 73 | Revalues: 14572 | GridSize: 88
Generation 74 | Revalues: 14792 | GridSize: 85
Generation 75 | Revalues: 15022 | GridSize: 91
Generation 76 | Revalues: 15226 | GridSize: 98
Generation 77 | Revalues: 15412 | GridSize: 99
Generation 78 | Revalues: 15614 | GridSize: 100
Generation 79 | Revalues: 15808 | GridSize: 100
Generation 80 | Revalues: 16024 | GridSize: 101
Generation 81 | Revalues: 16206 | GridSize: 106
Generation 82 | Revalues: 16436 | GridSize: 102
Generation 83 | Revalues: 16636 | GridSize: 106
Generation 84 | Revalues: 16824 | GridSize: 104
Generation 85 | Revalues: 17024 | GridSize: 108
Generation 86 | Revalues: 17228 | GridSize: 107
Generation 87 | Revalues: 17438 | GridSize: 109
Generation 88 | Revalues: 17620 | GridSize: 99
Generation 89 | Revalues: 17820 | GridSize: 99
Generation 90 | Revalues: 18000 | GridSize: 99
Generation 91 | Revalues: 18190 | GridSize: 103
Generation 92 | Revalues: 18380 | GridSize: 99
Generation 93 | Revalues: 18576 | GridSize: 91
Generation 94 | Revalues: 18778 | GridSize: 95
Generation 95 | Revalues: 19006 | GridSize: 102
Generation 96 | Revalues: 19216 | GridSize: 94
Generation 97 | Revalues: 19412 | GridSize: 95
Generation 98 | Revalues: 19638 | GridSize: 94
Generation 99 | Revalues: 19808 | GridSize: 103
Generation 100 | Revalues: 20020 | GridSize: 106
Generation 101 | Revalues: 20216 | GridSize: 107
Generation 102 | Revalues: 20426 | GridSize: 103
Generation 103 | Revalues: 20634 | GridSize: 105
Generation 104 | Revalues: 20828 | GridSize: 107
Generation 105 | Revalues: 21004 | GridSize: 105
Generation 106 | Revalues: 21212 | GridSize: 104
Generation 107 | Revalues: 21418 | GridSize: 108
Generation 108 | Revalues: 21622 | GridSize: 116
Generation 109 | Revalues: 21820 | GridSize: 111
Generation 110 | Revalues: 21996 | GridSize: 115
Generation 111 | Revalues: 22192 | GridSize: 114
Generation 112 | Revalues: 22384 | GridSize: 116
Generation 113 | Revalues: 22594 | GridSize: 120
Generation 114 | Revalues: 22808 | GridSize: 118
Generation 115 | Revalues: 22980 | GridSize: 118
Generation 116 | Revalues: 23158 | GridSize: 122
Generation 117 | Revalues: 23348 | GridSize: 128
Generation 118 | Revalues: 23542 | GridSize: 128
Generation 119 | Revalues: 23750 | GridSize: 127
Generation 120 | Revalues: 23930 | GridSize: 128
Generation 121 | Revalues: 24132 | GridSize: 127
Generation 122 | Revalues: 24326 | GridSize: 127
Generation 123 | Revalues: 24542 | GridSize: 134
Generation 124 | Revalues: 24736 | GridSize: 134
Generation 125 | Revalues: 24956 | GridSize: 129
Generation 126 | Revalues: 25170 | GridSize: 134
Generation 127 | Revalues: 25386 | GridSize: 137
Generation 128 | Revalues: 25578 | GridSize: 137
Generation 129 | Revalues: 25770 | GridSize: 141
Generation 130 | Revalues: 25968 | GridSize: 141
Generation 131 | Revalues: 26188 | GridSize: 143
Generation 132 | Revalues: 26396 | GridSize: 143
Generation 133 | Revalues: 26576 | GridSize: 147
Generation 134 | Revalues: 26762 | GridSize: 150
Generation 135 | Revalues: 26952 | GridSize: 148
Generation 136 | Revalues: 27154 | GridSize: 151
Generation 137 | Revalues: 27372 | GridSize: 158
Generation 138 | Revalues: 27578 | GridSize: 150
Generation 139 | Revalues: 27766 | GridSize: 150
Generation 140 | Revalues: 27968 | GridSize: 146
Generation 141 | Revalues: 28200 | GridSize: 148
Generation 142 | Revalues: 28414 | GridSize: 147
Generation 143 | Revalues: 28606 | GridSize: 147
Generation 144 | Revalues: 28824 | GridSize: 147
Generation 145 | Revalues: 29016 | GridSize: 146
Generation 146 | Revalues: 29212 | GridSize: 148
Generation 147 | Revalues: 29420 | GridSize: 151
