Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 338 | GridSize: 7
Generation 2 | Revalues: 538 | GridSize: 10
Generation 3 | Revalues: 760 | GridSize: 9
Generation 4 | Revalues: 980 | GridSize: 9
Generation 5 | Revalues: 1234 | GridSize: 10
Generation 6 | Revalues: 1454 | GridSize: 8
Generation 7 | Revalues: 1686 | GridSize: 11
Generation 8 | Revalues: 1932 | GridSize: 16
Generation 9 | Revalues: 2152 | GridSize: 16
Generation 10 | Revalues: 2366 | GridSize: 16
Generation 11 | Revalues: 2582 | GridSize: 17
Generation 12 | Revalues: 2822 | GridSize: 18
Generation 13 | Revalues: 3040 | GridSize: 17
Generation 14 | Revalues: 3258 | GridSize: 21
Generation 15 | Revalues: 3480 | GridSize: 17
Generation 16 | Revalues: 3710 | GridSize: 16
Generation 17 | Revalues: 3944 | GridSize: 19
Generation 18 | Revalues: 4188 | GridSize: 14
Generation 19 | Revalues: 4416 | GridSize: 11
Generation 20 | Revalues: 4646 | GridSize: 11
Generation 21 | Revalues: 4842 | GridSize: 17
Generation 22 | Revalues: 5076 | GridSize: 16
Generation 23 | Revalues: 5304 | GridSize: 16
Generation 24 | Revalues: 5554 | GridSize: 21
Generation 25 | Revalues: 5766 | GridSize: 23
Generation 26 | Revalues: 5998 | GridSize: 24
Generation 27 | Revalues: 6210 | GridSize: 27
Generation 28 | Revalues: 6460 | GridSize: 21
Generation 29 | Revalues: 6686 | GridSize: 17
Generation 30 | Revalues: 6894 | GridSize: 18
Generation 31 | Revalues: 7088 | GridSize: 14
Generation 32 | Revalues: 7304 | GridSize: 16
Generation 33 | Revalues: 7542 | GridSize: 20
Generation 34 | Revalues: 7756 | GridSize: 19
Generation 35 | Revalues: 7980 | GridSize: 22
Generation 36 | Revalues: 8200 | GridSize: 20
Generation 37 | Revalues: 8422 | GridSize: 18
Generation 38 | Revalues: 8648 | GridSize: 24
Generation 39 | Revalues: 8858 | GridSize: 33
Generation 40 | Revalues: 9088 | GridSize: 35
Generation 41 | Revalues: 9298 | GridSize: 25
Generation 42 | Revalues: 9528 | GridSize: 21
Generation 43 | Revalues: 9728 | GridSize: 24
Generation 44 | Revalues: 9944 | GridSize: 23
Generation 45 | Revalues: 10172 | GridSize: 15
Generation 46 | Revalues: 10404 | GridSize: 14
Generation 47 | Revalues: 10616 | GridSize: 18
Generation 48 | Revalues: 10834 | GridSize: 19
Generation 49 | Revalues: 11058 | GridSize: 16
Generation 50 | Revalues: 11272 | GridSize: 17
Generation 51 | Revalues: 11478 | GridSize: 18
Generation 52 | Revalues: 11708 | GridSize: 18
Generation 53 | Revalues: 11922 | GridSize: 19
Generation 54 | Revalues: 12144 | GridSize: 24
Generation 55 | Revalues: 12370 | GridSize: 25
Generation 56 | Revalues: 12620 | GridSize: 27
Generation 57 | Revalues: 12846 | GridSize: 32
Generation 58 | Revalues: 13082 | GridSize: 27
Generation 59 | Revalues: 13284 | GridSize: 29
Generation 60 | Revalues: 13508 | GridSize: 30
Generation 61 | Revalues: 13730 | GridSize: 26
Generation 62 | Revalues: 13930 | GridSize: 32
Generation 63 | Revalues: 14148 | GridSize: 34
Generation 64 | Revalues: 14362 | GridSize: 37
Generation 65 | Revalues: 14574 | GridSize: 37
Generation 66 | Revalues: 14802 | GridSize: 33
Generation 67 | Revalues: 15006 | GridSize: 29
Generation 68 | Revalues: 15224 | GridSize: 28
Generation 69 | Revalues: 15458 | GridSize: 28
Generation 70 | Revalues: 15652 | GridSize: 27
Generation 71 | Revalues: 15852 | GridSize: 23
Generation 72 | Revalues: 16064 | GridSize: 18
Generation 73 | Revalues: 16284 | GridSize: 22
Generation 74 | Revalues: 16524 | GridSize: 23
Generation 75 | Revalues: 16760 | GridSize: 27
Generation 76 | Revalues: 16982 | GridSize: 26
Generation 77 | Revalues: 17200 | GridSize: 25
Generation 78 | Revalues: 17404 | GridSize: 32
Generation 79 | Revalues: 17652 | GridSize: 26
Generation 80 | Revalues: 17860 | GridSize: 31
Generation 81 | Revalues: 18092 | GridSize: 34
Generation 82 | Revalues: 18326 | GridSize: 35
Generation 83 | Revalues: 18536 | GridSize: 37
Generation 84 | Revalues: 18770 | GridSize: 38
Generation 85 | Revalues: 19014 | GridSize: 39
Generation 86 | Revalues: 19216 | GridSize: 36
Generation 87 | Revalues: 19452 | GridSize: 26
Generation 88 | Revalues: 19662 | GridSize: 21
Generation 89 | Revalues: 19876 | GridSize: 26
Generation 90 | Revalues: 20096 | GridSize: 29
Generation 91 | Revalues: 20314 | GridSize: 37
Generation 92 | Revalues: 20536 | GridSize: 36
Generation 93 | Revalues: 20758 | GridSize: 37
Generation 94 | Revalues: 20970 | GridSize: 29
Generation 95 | Revalues: 21204 | GridSize: 28
Generation 96 | Revalues: 21410 | GridSize: 31
Generation 97 | Revalues: 21648 | GridSize: 24
Generation 98 | Revalues: 21884 | GridSize: 28
Generation 99 | Revalues: 22098 | GridSize: 32
Generation 100 | Revalues: 22334 | GridSize: 29
Generation 101 | Revalues: 22532 | GridSize: 29
Generation 102 | Revalues: 22774 | GridSize: 29
Generation 103 | Revalues: 23010 | GridSize: 30
Generation 104 | Revalues: 23218 | GridSize: 31
Generation 105 | Revalues: 23430 | GridSize: 28
Generation 106 | Revalues: 23666 | GridSize: 29
Generation 107 | Revalues: 23894 | GridSize: 26
Generation 108 | Revalues: 24116 | GridSize: 28
Generation 109 | Revalues: 24344 | GridSize: 31
Generation 110 | Revalues: 24530 | GridSize: 32
Generation 111 | Revalues: 24750 | GridSize: 31
Generation 112 | Revalues: 24948 | GridSize: 32
Generation 113 | Revalues: 25148 | GridSize: 31
Generation 114 | Revalues: 25392 | GridSize: 38
Generation 115 | Revalues: 25598 | GridSize: 40
Generation 116 | Revalues: 25832 | GridSize: 40
Generation 117 | Revalues: 26052 | GridSize: 40
Generation 118 | Revalues: 26274 | GridSize: 35
Generation 119 | Revalues: 26486 | GridSize: 40
Generation 120 | Revalues: 26684 | GridSize: 41
Generation 121 | Revalues: 26880 | GridSize: 46
Generation 122 | Revalues: 27106 | GridSize: 43
Generation 123 | Revalues: 27332 | GridSize: 45
Generation 124 | Revalues: 27538 | GridSize: 45
Generation 125 | Revalues: 27754 | GridSize: 42
Generation 126 | Revalues: 27988 | GridSize: 43
Generation 127 | Revalues: 28220 | GridSize: 47
Generation 128 | Revalues: 28432 | GridSize: 44
Generation 129 | Revalues: 28646 | GridSize: 47
Generation 130 | Revalues: 28868 | GridSize: 51
Generation 131 | Revalues: 29072 | GridSize: 48
Generation 132 | Revalues: 29276 | GridSize: 46
Generation 133 | Revalues: 29508 | GridSize: 56
Generation 134 | Revalues: 29748 | GridSize: 61
Generation 135 | Revalues: 29948 | GridSize: 62
Generation 136 | Revalues: 30152 | GridSize: 58
Generation 137 | Revalues: 30360 | GridSize: 60
Generation 138 | Revalues: 30550 | GridSize: 62
Generation 139 | Revalues: 30780 | GridSize: 63
Generation 140 | Revalues: 30996 | GridSize: 60
Generation 141 | Revalues: 31218 | GridSize: 69
Generation 142 | Revalues: 31456 | GridSize: 71
Generation 143 | Revalues: 31680 | GridSize: 70
Generation 144 | Revalues: 31902 | GridSize: 54
Generation 145 | Revalues: 32136 | GridSize: 58
Generation 146 | Revalues: 32378 | GridSize: 58
Generation 147 | Revalues: 32610 | GridSize: 62
Generation 148 | Revalues: 32834 | GridSize: 60
Generation 149 | Revalues: 33050 | GridSize: 62
Generation 150 | Revalues: 33274 | GridSize: 62
Generation 151 | Revalues: 33492 | GridSize: 50
Generation 152 | Revalues: 33720 | GridSize: 44
Generation 153 | Revalues: 33956 | GridSize: 40
Generation 154 | Revalues: 34188 | GridSize: 46
Generation 155 | Revalues: 34396 | GridSize: 49
Generation 156 | Revalues: 34626 | GridSize: 48
Generation 157 | Revalues: 34854 | GridSize: 48
Generation 158 | Revalues: 35072 | GridSize: 51
Generation 159 | Revalues: 35264 | GridSize: 57
Generation 160 | Revalues: 35496 | GridSize: 62
Generation 161 | Revalues: 35726 | GridSize: 67
Generation 162 | Revalues: 35924 | GridSize: 71
Generation 163 | Revalues: 36126 | GridSize: 74
Generation 164 | Revalues: 36348 | GridSize: 72
Generation 165 | Revalues: 36564 | GridSize: 70
Generation 166 | Revalues: 36798 | GridSize: 76
Generation 167 | Revalues: 37030 | GridSize: 81
Generation 168 | Revalues: 37240 | GridSize: 84
Generation 169 | Revalues: 37486 | GridSize: 86
Generation 170 | Revalues: 37712 | GridSize: 85
Generation 171 | Revalues: 37932 | GridSize: 79
Generation 172 | Revalues: 38160 | GridSize: 81
Generation 173 | Revalues: 38390 | GridSize: 82
Generation 174 | Revalues: 38604 | GridSize: 84
Generation 175 | Revalues: 38814 | GridSize: 84
Generation 176 | Revalues: 39036 | GridSize: 83
Generation 177 | Revalues: 39256 | GridSize: 78
Generation 178 | Revalues: 39464 | GridSize: 77
Generation 179 | Revalues: 39710 | GridSize: 78
Generation 180 | Revalues: 39934 | GridSize: 83
Generation 181 | Revalues: 40134 | GridSize: 89
Generation 182 | Revalues: 40340 | GridSize: 86
Generation 183 | Revalues: 40558 | GridSize: 87
Generation 184 | Revalues: 40778 | GridSize: 83
Generation 185 | Revalues: 41010 | GridSize: 84
Generation 186 | Revalues: 41254 | GridSize: 81
Generation 187 | Revalues: 41470 | GridSize: 85
Generation 188 | Revalues: 41708 | GridSize: 71
Generation 189 | Revalues: 41960 | GridSize: 74
Generation 190 | Revalues: 42166 | GridSize: 64
Generation 191 | Revalues: 42378 | GridSize: 60
Generation 192 | Revalues: 42616 | GridSize: 70
Generation 193 | Revalues: 42838 | GridSize: 69
Generation 194 | Revalues: 43068 | GridSize: 72
Generation 195 | Revalues: 43314 | GridSize: 72
Generation 196 | Revalues: 43540 | GridSize: 74
Generation 197 | Revalues: 43788 | GridSize: 75
Generation 198 | Revalues: 44000 | GridSize: 77
Generation 199 | Revalues: 44214 | GridSize: 76
Generation 200 | Revalues: 44450 | GridSize: 77
Generation 201 | Revalues: 44676 | GridSize: 80
Generation 202 | Revalues: 44906 | GridSize: 82
Generation 203 | Revalues: 45126 | GridSize: 84
Generation 204 | Revalues: 45342 | GridSize: 88
Generation 205 | Revalues: 45574 | GridSize: 85
Generation 206 | Revalues: 45812 | GridSize: 83
Generation 207 | Revalues: 46032 | GridSize: 86
Generation 208 | Revalues: 46270 | GridSize: 91
Generation 209 | Revalues: 46500 | GridSize: 90
Generation 210 | Revalues: 46712 | GridSize: 91
Generation 211 | Revalues: 46932 | GridSize: 94
Generation 212 | Revalues: 47124 | GridSize: 93
Generation 213 | Revalues: 47334 | GridSize: 93
Generation 214 | Revalues: 47554 | GridSize: 97
Generation 215 | Revalues: 47784 | GridSize: 97
Generation 216 | Revalues: 48026 | GridSize: 89
Generation 217 | Revalues: 48256 | GridSize: 93
Generation 218 | Revalues: 48488 | GridSize: 97
Generation 219 | Revalues: 48734 | GridSize: 94
Generation 220 | Revalues: 48946 | GridSize: 91
Generation 221 | Revalues: 49158 | GridSize: 95
Generation 222 | Revalues: 49370 | GridSize: 93
Generation 223 | Revalues: 49600 | GridSize: 91
Generation 224 | Revalues: 49842 | GridSize: 97
Generation 225 | Revalues: 50056 | GridSize: 95
Generation 226 | Revalues: 50262 | GridSize: 82
Generation 227 | Revalues: 50492 | GridSize: 78
Generation 228 | Revalues: 50722 | GridSize: 71
Generation 229 | Revalues: 50936 | GridSize: 72
Generation 230 | Revalues: 51148 | GridSize: 70
Generation 231 | Revalues: 51376 | GridSize: 74
Generation 232 | Revalues: 51590 | GridSize: 77
Generation 233 | Revalues: 51806 | GridSize: 75
Generation 234 | Revalues: 52038 | GridSize: 76
Generation 235 | Revalues: 52258 | GridSize: 77
Generation 236 | Revalues: 52462 | GridSize: 81
Generation 237 | Revalues: 52682 | GridSize: 80
Generation 238 | Revalues: 52914 | GridSize: 88
Generation 239 | Revalues: 53118 | GridSize: 91
Generation 240 | Revalues: 53332 | GridSize: 90
Generation 241 | Revalues: 53560 | GridSize: 92
Generation 242 | Revalues: 53772 | GridSize: 91
Generation 243 | Revalues: 54002 | GridSize: 89
Generation 244 | Revalues: 54218 | GridSize: 97
Generation 245 | Revalues: 54424 | GridSize: 101
Generation 246 | Revalues: 54654 | GridSize: 100
Generation 247 | Revalues: 54874 | GridSize: 105
Generation 248 | Revalues: 55108 | GridSize: 103
Generation 249 | Revalues: 55340 | GridSize: 109
Generation 250 | Revalues: 55542 | GridSize: 110
Generation 251 | Revalues: 55776 | GridSize: 110
Generation 252 | Revalues: 55998 | GridSize: 112
Generation 253 | Revalues: 56226 | GridSize: 107
Generation 254 | Revalues: 56462 | GridSize: 103
Generation 255 | Revalues: 56672 | GridSize: 103
Generation 256 | Revalues: 56904 | GridSize: 100
Generation 257 | Revalues: 57102 | GridSize: 96
Generation 258 | Revalues: 57336 | GridSize: 96
Generation 259 | Revalues: 57570 | GridSize: 96
Generation 260 | Revalues: 57794 | GridSize: 98
Generation 261 | Revalues: 58028 | GridSize: 99
Generation 262 | Revalues: 58228 | GridSize: 100
Generation 263 | Revalues: 58444 | GridSize: 98
Generation 264 | Revalues: 58660 | GridSize: 101
Generation 265 | Revalues: 58880 | GridSize: 99
Generation 266 | Revalues: 59076 | GridSize: 99
Generation 267 | Revalues: 59308 | GridSize: 96
Generation 268 | Revalues: 59508 | GridSize: 96
Generation 269 | Revalues: 59742 | GridSize: 98
Generation 270 | Revalues: 59972 | GridSize: 97
Generation 271 | Revalues: 60188 | GridSize: 95
Generation 272 | Revalues: 60406 | GridSize: 95
Generation 273 | Revalues: 60628 | GridSize: 97
Generation 274 | Revalues: 60840 | GridSize: 96
Generation 275 | Revalues: 61040 | GridSize: 98
Generation 276 | Revalues: 61274 | GridSize: 96
Generation 277 | Revalues: 61494 | GridSize: 97
Generation 278 | Revalues: 61710 | GridSize: 99
Generation 279 | Revalues: 61936 | GridSize: 94
Generation 280 | Revalues: 62162 | GridSize: 94
Generation 281 | Revalues: 62380 | GridSize: 98
Generation 282 | Revalues: 62588 | GridSize: 97
Generation 283 | Revalues: 62800 | GridSize: 99
Generation 284 | Revalues: 63012 | GridSize: 92
Generation 285 | Revalues: 63244 | GridSize: 96
Generation 286 | Revalues: 63472 | GridSize: 97
Generation 287 | Revalues: 63696 | GridSize: 98
Generation 288 | Revalues: 63898 | GridSize: 94
Generation 289 | Revalues: 64116 | GridSize: 96
Generation 290 | Revalues: 64362 | GridSize: 98
Generation 291 | Revalues: 64612 | GridSize: 95
Generation 292 | Revalues: 64824 | GridSize: 99
Generation 293 | Revalues: 65038 | GridSize: 96
Generation 294 | Revalues: 65248 | GridSize: 99
Generation 295 | Revalues: 65470 | GridSize: 89
Generation 296 | Revalues: 65678 | GridSize: 85
Generation 297 | Revalues: 65900 | GridSize: 80
Generation 298 | Revalues: 66130 | GridSize: 83
Generation 299 | Revalues: 66332 | GridSize: 87
Generation 300 | Revalues: 66578 | GridSize: 92
Generation 301 | Revalues: 66786 | GridSize: 92
Generation 302 | Revalues: 67020 | GridSize: 97
Generation 303 | Revalues: 67256 | GridSize: 98
Generation 304 | Revalues: 67468 | GridSize: 102
Generation 305 | Revalues: 67668 | GridSize: 104
Generation 306 | Revalues: 67884 | GridSize: 105
Generation 307 | Revalues: 68116 | GridSize: 107
Generation 308 | Revalues: 68354 | GridSize: 109
Generation 309 | Revalues: 68574 | GridSize: 111
Generation 310 | Revalues: 68810 | GridSize: 106
Generation 311 | Revalues: 69048 | GridSize: 111
Generation 312 | Revalues: 69258 | GridSize: 111
Generation 313 | Revalues: 69474 | GridSize: 104
Generation 314 | Revalues: 69662 | GridSize: 104
Generation 315 | Revalues: 69872 | GridSize: 108
Generation 316 | Revalues: 70080 | GridSize: 111
Generation 317 | Revalues: 70286 | GridSize: 113
Generation 318 | Revalues: 70500 | GridSize: 110
Generation 319 | Revalues: 70728 | GridSize: 109
Generation 320 | Revalues: 70948 | GridSize: 109
Generation 321 | Revalues: 71168 | GridSize: 103
Generation 322 | Revalues: 71376 | GridSize: 96
Generation 323 | Revalues: 71588 | GridSize: 93
Generation 324 | Revalues: 71818 | GridSize: 91
Generation 325 | Revalues: 72048 | GridSize: 94
Generation 326 | Revalues: 72254 | GridSize: 97
Generation 327 | Revalues: 72496 | GridSize: 90
Generation 328 | Revalues: 72706 | GridSize: 87
Generation 329 | Revalues: 72920 | GridSize: 91
Generation 330 | Revalues: 73152 | GridSize: 87
Generation 331 | Revalues: 73366 | GridSize: 92
Generation 332 | Revalues: 73582 | GridSize: 88
Generation 333 | Revalues: 73794 | GridSize: 89
Generation 334 | Revalues: 74024 | GridSize: 85
Generation 335 | Revalues: 74248 | GridSize: 87
Generation 336 | Revalues: 74464 | GridSize: 86
Generation 337 | Revalues: 74678 | GridSize: 92
Generation 338 | Revalues: 74896 | GridSize: 97
