"instance","nodes","disc_rate","edge_ratio","shared_vec","pareto","par_strength","n_end","path_par"
"ns178",1457,0.1451,1.6266,0.083,21,0.52,0.0528,16
"178_r1e-04",3725,0.1853,1.9208,0.2427,33,0.405,0.0379,NA
