Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 322 | GridSize: 12
Generation 2 | Revalues: 546 | GridSize: 13
Generation 3 | Revalues: 766 | GridSize: 14
Generation 4 | Revalues: 956 | GridSize: 14
Generation 5 | Revalues: 1146 | GridSize: 19
Generation 6 | Revalues: 1306 | GridSize: 23
Generation 7 | Revalues: 1510 | GridSize: 24
Generation 8 | Revalues: 1704 | GridSize: 21
Generation 9 | Revalues: 1902 | GridSize: 26
Generation 10 | Revalues: 2120 | GridSize: 35
Generation 11 | Revalues: 2322 | GridSize: 39
Generation 12 | Revalues: 2506 | GridSize: 41
Generation 13 | Revalues: 2716 | GridSize: 43
Generation 14 | Revalues: 2928 | GridSize: 45
Generation 15 | Revalues: 3142 | GridSize: 46
Generation 16 | Revalues: 3352 | GridSize: 45
Generation 17 | Revalues: 3552 | GridSize: 34
Generation 18 | Revalues: 3780 | GridSize: 34
Generation 19 | Revalues: 3964 | GridSize: 31
Generation 20 | Revalues: 4152 | GridSize: 32
Generation 21 | Revalues: 4344 | GridSize: 33
Generation 22 | Revalues: 4560 | GridSize: 38
Generation 23 | Revalues: 4746 | GridSize: 33
Generation 24 | Revalues: 4962 | GridSize: 32
Generation 25 | Revalues: 5144 | GridSize: 36
Generation 26 | Revalues: 5330 | GridSize: 31
Generation 27 | Revalues: 5546 | GridSize: 34
Generation 28 | Revalues: 5768 | GridSize: 35
Generation 29 | Revalues: 5980 | GridSize: 35
Generation 30 | Revalues: 6136 | GridSize: 35
Generation 31 | Revalues: 6318 | GridSize: 36
Generation 32 | Revalues: 6524 | GridSize: 38
Generation 33 | Revalues: 6700 | GridSize: 40
Generation 34 | Revalues: 6924 | GridSize: 41
Generation 35 | Revalues: 7132 | GridSize: 41
Generation 36 | Revalues: 7328 | GridSize: 42
Generation 37 | Revalues: 7504 | GridSize: 43
Generation 38 | Revalues: 7706 | GridSize: 43
Generation 39 | Revalues: 7914 | GridSize: 46
Generation 40 | Revalues: 8130 | GridSize: 46
Generation 41 | Revalues: 8320 | GridSize: 47
Generation 42 | Revalues: 8522 | GridSize: 48
Generation 43 | Revalues: 8696 | GridSize: 44
Generation 44 | Revalues: 8888 | GridSize: 42
Generation 45 | Revalues: 9076 | GridSize: 41
Generation 46 | Revalues: 9262 | GridSize: 43
Generation 47 | Revalues: 9456 | GridSize: 42
Generation 48 | Revalues: 9656 | GridSize: 45
Generation 49 | Revalues: 9844 | GridSize: 39
Generation 50 | Revalues: 10050 | GridSize: 39
Generation 51 | Revalues: 10262 | GridSize: 38
Generation 52 | Revalues: 10472 | GridSize: 39
Generation 53 | Revalues: 10672 | GridSize: 39
Generation 54 | Revalues: 10866 | GridSize: 39
Generation 55 | Revalues: 11064 | GridSize: 43
Generation 56 | Revalues: 11282 | GridSize: 43
Generation 57 | Revalues: 11484 | GridSize: 38
Generation 58 | Revalues: 11692 | GridSize: 38
Generation 59 | Revalues: 11882 | GridSize: 33
Generation 60 | Revalues: 12082 | GridSize: 36
Generation 61 | Revalues: 12282 | GridSize: 31
Generation 62 | Revalues: 12500 | GridSize: 28
Generation 63 | Revalues: 12698 | GridSize: 29
Generation 64 | Revalues: 12904 | GridSize: 30
Generation 65 | Revalues: 13110 | GridSize: 30
Generation 66 | Revalues: 13288 | GridSize: 33
Generation 67 | Revalues: 13480 | GridSize: 34
Generation 68 | Revalues: 13668 | GridSize: 36
Generation 69 | Revalues: 13868 | GridSize: 38
Generation 70 | Revalues: 14058 | GridSize: 40
Generation 71 | Revalues: 14282 | GridSize: 42
Generation 72 | Revalues: 14474 | GridSize: 42
Generation 73 | Revalues: 14680 | GridSize: 44
Generation 74 | Revalues: 14886 | GridSize: 48
Generation 75 | Revalues: 15092 | GridSize: 48
Generation 76 | Revalues: 15298 | GridSize: 49
Generation 77 | Revalues: 15472 | GridSize: 50
Generation 78 | Revalues: 15656 | GridSize: 47
Generation 79 | Revalues: 15882 | GridSize: 48
Generation 80 | Revalues: 16040 | GridSize: 46
Generation 81 | Revalues: 16224 | GridSize: 48
Generation 82 | Revalues: 16418 | GridSize: 48
Generation 83 | Revalues: 16628 | GridSize: 49
Generation 84 | Revalues: 16826 | GridSize: 46
Generation 85 | Revalues: 16986 | GridSize: 48
Generation 86 | Revalues: 17198 | GridSize: 50
Generation 87 | Revalues: 17400 | GridSize: 51
Generation 88 | Revalues: 17608 | GridSize: 52
Generation 89 | Revalues: 17808 | GridSize: 52
Generation 90 | Revalues: 18014 | GridSize: 55
Generation 91 | Revalues: 18206 | GridSize: 55
Generation 92 | Revalues: 18404 | GridSize: 55
Generation 93 | Revalues: 18606 | GridSize: 54
Generation 94 | Revalues: 18804 | GridSize: 56
Generation 95 | Revalues: 19022 | GridSize: 48
Generation 96 | Revalues: 19230 | GridSize: 46
Generation 97 | Revalues: 19448 | GridSize: 46
Generation 98 | Revalues: 19624 | GridSize: 47
Generation 99 | Revalues: 19808 | GridSize: 49
Generation 100 | Revalues: 19990 | GridSize: 49
Generation 101 | Revalues: 20208 | GridSize: 48
Generation 102 | Revalues: 20400 | GridSize: 46
Generation 103 | Revalues: 20618 | GridSize: 48
Generation 104 | Revalues: 20818 | GridSize: 49
Generation 105 | Revalues: 21010 | GridSize: 50
Generation 106 | Revalues: 21234 | GridSize: 51
Generation 107 | Revalues: 21426 | GridSize: 52
Generation 108 | Revalues: 21638 | GridSize: 49
Generation 109 | Revalues: 21828 | GridSize: 50
Generation 110 | Revalues: 22034 | GridSize: 51
Generation 111 | Revalues: 22226 | GridSize: 53
Generation 112 | Revalues: 22392 | GridSize: 53
Generation 113 | Revalues: 22586 | GridSize: 53
Generation 114 | Revalues: 22790 | GridSize: 52
Generation 115 | Revalues: 23014 | GridSize: 51
Generation 116 | Revalues: 23212 | GridSize: 52
Generation 117 | Revalues: 23404 | GridSize: 54
Generation 118 | Revalues: 23612 | GridSize: 54
Generation 119 | Revalues: 23820 | GridSize: 54
Generation 120 | Revalues: 24040 | GridSize: 54
Generation 121 | Revalues: 24224 | GridSize: 55
Generation 122 | Revalues: 24422 | GridSize: 55
Generation 123 | Revalues: 24636 | GridSize: 55
Generation 124 | Revalues: 24816 | GridSize: 54
Generation 125 | Revalues: 25006 | GridSize: 55
Generation 126 | Revalues: 25196 | GridSize: 56
Generation 127 | Revalues: 25416 | GridSize: 58
Generation 128 | Revalues: 25588 | GridSize: 58
Generation 129 | Revalues: 25788 | GridSize: 63
Generation 130 | Revalues: 25994 | GridSize: 64
Generation 131 | Revalues: 26192 | GridSize: 65
Generation 132 | Revalues: 26398 | GridSize: 63
Generation 133 | Revalues: 26600 | GridSize: 62
Generation 134 | Revalues: 26792 | GridSize: 63
Generation 135 | Revalues: 27000 | GridSize: 63
Generation 136 | Revalues: 27172 | GridSize: 62
Generation 137 | Revalues: 27376 | GridSize: 62
Generation 138 | Revalues: 27568 | GridSize: 62
Generation 139 | Revalues: 27770 | GridSize: 61
Generation 140 | Revalues: 27944 | GridSize: 62
Generation 141 | Revalues: 28184 | GridSize: 63
Generation 142 | Revalues: 28362 | GridSize: 64
Generation 143 | Revalues: 28548 | GridSize: 66
Generation 144 | Revalues: 28734 | GridSize: 66
Generation 145 | Revalues: 28946 | GridSize: 65
Generation 146 | Revalues: 29164 | GridSize: 66
Generation 147 | Revalues: 29342 | GridSize: 66
Generation 148 | Revalues: 29550 | GridSize: 66
Generation 149 | Revalues: 29730 | GridSize: 65
Generation 150 | Revalues: 29926 | GridSize: 67
Generation 151 | Revalues: 30110 | GridSize: 67
Generation 152 | Revalues: 30304 | GridSize: 65
Generation 153 | Revalues: 30490 | GridSize: 65
Generation 154 | Revalues: 30696 | GridSize: 65
Generation 155 | Revalues: 30886 | GridSize: 61
Generation 156 | Revalues: 31086 | GridSize: 62
Generation 157 | Revalues: 31284 | GridSize: 62
Generation 158 | Revalues: 31468 | GridSize: 63
Generation 159 | Revalues: 31678 | GridSize: 63
Generation 160 | Revalues: 31878 | GridSize: 63
Generation 161 | Revalues: 32066 | GridSize: 63
Generation 162 | Revalues: 32258 | GridSize: 62
Generation 163 | Revalues: 32446 | GridSize: 64
Generation 164 | Revalues: 32636 | GridSize: 65
Generation 165 | Revalues: 32842 | GridSize: 65
Generation 166 | Revalues: 33038 | GridSize: 61
Generation 167 | Revalues: 33244 | GridSize: 61
Generation 168 | Revalues: 33436 | GridSize: 60
Generation 169 | Revalues: 33642 | GridSize: 60
Generation 170 | Revalues: 33822 | GridSize: 61
Generation 171 | Revalues: 34014 | GridSize: 60
Generation 172 | Revalues: 34202 | GridSize: 62
Generation 173 | Revalues: 34398 | GridSize: 63
Generation 174 | Revalues: 34612 | GridSize: 62
Generation 175 | Revalues: 34812 | GridSize: 62
Generation 176 | Revalues: 34996 | GridSize: 62
Generation 177 | Revalues: 35206 | GridSize: 62
Generation 178 | Revalues: 35404 | GridSize: 62
Generation 179 | Revalues: 35602 | GridSize: 62
Generation 180 | Revalues: 35798 | GridSize: 62
Generation 181 | Revalues: 36002 | GridSize: 62
Generation 182 | Revalues: 36190 | GridSize: 62
Generation 183 | Revalues: 36394 | GridSize: 63
Generation 184 | Revalues: 36606 | GridSize: 64
Generation 185 | Revalues: 36806 | GridSize: 64
Generation 186 | Revalues: 37004 | GridSize: 64
Generation 187 | Revalues: 37204 | GridSize: 65
Generation 188 | Revalues: 37380 | GridSize: 65
Generation 189 | Revalues: 37596 | GridSize: 65
Generation 190 | Revalues: 37774 | GridSize: 65
Generation 191 | Revalues: 37974 | GridSize: 60
Generation 192 | Revalues: 38188 | GridSize: 61
Generation 193 | Revalues: 38398 | GridSize: 61
Generation 194 | Revalues: 38602 | GridSize: 63
Generation 195 | Revalues: 38808 | GridSize: 63
Generation 196 | Revalues: 39008 | GridSize: 63
Generation 197 | Revalues: 39216 | GridSize: 60
Generation 198 | Revalues: 39400 | GridSize: 62
Generation 199 | Revalues: 39602 | GridSize: 61
Generation 200 | Revalues: 39802 | GridSize: 61
Generation 201 | Revalues: 39988 | GridSize: 62
Generation 202 | Revalues: 40188 | GridSize: 62
Generation 203 | Revalues: 40414 | GridSize: 62
Generation 204 | Revalues: 40588 | GridSize: 63
Generation 205 | Revalues: 40784 | GridSize: 61
Generation 206 | Revalues: 41002 | GridSize: 61
Generation 207 | Revalues: 41228 | GridSize: 61
Generation 208 | Revalues: 41424 | GridSize: 61
Generation 209 | Revalues: 41626 | GridSize: 62
Generation 210 | Revalues: 41822 | GridSize: 63
Generation 211 | Revalues: 42050 | GridSize: 63
Generation 212 | Revalues: 42252 | GridSize: 64
Generation 213 | Revalues: 42438 | GridSize: 62
Generation 214 | Revalues: 42660 | GridSize: 64
Generation 215 | Revalues: 42834 | GridSize: 61
Generation 216 | Revalues: 43036 | GridSize: 60
Generation 217 | Revalues: 43222 | GridSize: 61
Generation 218 | Revalues: 43408 | GridSize: 64
Generation 219 | Revalues: 43624 | GridSize: 64
Generation 220 | Revalues: 43842 | GridSize: 67
Generation 221 | Revalues: 44034 | GridSize: 67
Generation 222 | Revalues: 44226 | GridSize: 63
Generation 223 | Revalues: 44404 | GridSize: 64
Generation 224 | Revalues: 44602 | GridSize: 58
Generation 225 | Revalues: 44784 | GridSize: 54
Generation 226 | Revalues: 44968 | GridSize: 50
Generation 227 | Revalues: 45166 | GridSize: 52
Generation 228 | Revalues: 45372 | GridSize: 51
Generation 229 | Revalues: 45562 | GridSize: 51
Generation 230 | Revalues: 45774 | GridSize: 50
Generation 231 | Revalues: 46004 | GridSize: 50
Generation 232 | Revalues: 46224 | GridSize: 48
Generation 233 | Revalues: 46434 | GridSize: 49
Generation 234 | Revalues: 46606 | GridSize: 49
Generation 235 | Revalues: 46806 | GridSize: 45
Generation 236 | Revalues: 47014 | GridSize: 47
Generation 237 | Revalues: 47206 | GridSize: 48
Generation 238 | Revalues: 47402 | GridSize: 48
Generation 239 | Revalues: 47582 | GridSize: 48
Generation 240 | Revalues: 47808 | GridSize: 45
Generation 241 | Revalues: 48008 | GridSize: 47
Generation 242 | Revalues: 48218 | GridSize: 47
Generation 243 | Revalues: 48398 | GridSize: 48
Generation 244 | Revalues: 48612 | GridSize: 50
Generation 245 | Revalues: 48806 | GridSize: 49
Generation 246 | Revalues: 49006 | GridSize: 50
Generation 247 | Revalues: 49206 | GridSize: 51
Generation 248 | Revalues: 49398 | GridSize: 49
Generation 249 | Revalues: 49594 | GridSize: 49
Generation 250 | Revalues: 49800 | GridSize: 49
Generation 251 | Revalues: 49982 | GridSize: 52
Generation 252 | Revalues: 50176 | GridSize: 53
Generation 253 | Revalues: 50410 | GridSize: 49
Generation 254 | Revalues: 50596 | GridSize: 50
Generation 255 | Revalues: 50794 | GridSize: 50
Generation 256 | Revalues: 50994 | GridSize: 50
Generation 257 | Revalues: 51216 | GridSize: 51
Generation 258 | Revalues: 51438 | GridSize: 53
Generation 259 | Revalues: 51634 | GridSize: 54
Generation 260 | Revalues: 51826 | GridSize: 54
Generation 261 | Revalues: 52014 | GridSize: 55
Generation 262 | Revalues: 52212 | GridSize: 52
Generation 263 | Revalues: 52414 | GridSize: 52
Generation 264 | Revalues: 52618 | GridSize: 52
Generation 265 | Revalues: 52828 | GridSize: 53
Generation 266 | Revalues: 53034 | GridSize: 53
Generation 267 | Revalues: 53226 | GridSize: 54
Generation 268 | Revalues: 53396 | GridSize: 54
Generation 269 | Revalues: 53578 | GridSize: 54
Generation 270 | Revalues: 53750 | GridSize: 55
Generation 271 | Revalues: 53976 | GridSize: 55
Generation 272 | Revalues: 54194 | GridSize: 53
Generation 273 | Revalues: 54364 | GridSize: 53
Generation 274 | Revalues: 54544 | GridSize: 53
Generation 275 | Revalues: 54724 | GridSize: 54
Generation 276 | Revalues: 54914 | GridSize: 54
Generation 277 | Revalues: 55106 | GridSize: 56
Generation 278 | Revalues: 55320 | GridSize: 56
Generation 279 | Revalues: 55506 | GridSize: 56
Generation 280 | Revalues: 55710 | GridSize: 56
Generation 281 | Revalues: 55884 | GridSize: 58
