"instance","nodes","disc_rate","edge_ratio","shared_vec","pareto","par_strength","n_end","path_par"
"ns178",1217,0.1212,1.5382,0.1339,12,0.64,0.0419,11
"178_r1e-04",2231,0.111,1.9072,0.1824,16,0.98,0.0287,10
