Generation 0 | Revalues: 100 | GridSize: 3
Generation 1 | Revalues: 342 | GridSize: 3
Generation 2 | Revalues: 550 | GridSize: 5
Generation 3 | Revalues: 768 | GridSize: 7
Generation 4 | Revalues: 990 | GridSize: 7
Generation 5 | Revalues: 1204 | GridSize: 11
Generation 6 | Revalues: 1428 | GridSize: 9
Generation 7 | Revalues: 1642 | GridSize: 7
Generation 8 | Revalues: 1828 | GridSize: 10
Generation 9 | Revalues: 2028 | GridSize: 10
Generation 10 | Revalues: 2256 | GridSize: 8
Generation 11 | Revalues: 2454 | GridSize: 9
Generation 12 | Revalues: 2690 | GridSize: 7
Generation 13 | Revalues: 2918 | GridSize: 4
Generation 14 | Revalues: 3142 | GridSize: 7
Generation 15 | Revalues: 3378 | GridSize: 5
Generation 16 | Revalues: 3606 | GridSize: 8
Generation 17 | Revalues: 3828 | GridSize: 6
Generation 18 | Revalues: 4034 | GridSize: 8
Generation 19 | Revalues: 4276 | GridSize: 10
Generation 20 | Revalues: 4484 | GridSize: 7
Generation 21 | Revalues: 4716 | GridSize: 5
Generation 22 | Revalues: 4938 | GridSize: 5
Generation 23 | Revalues: 5160 | GridSize: 5
Generation 24 | Revalues: 5388 | GridSize: 6
Generation 25 | Revalues: 5610 | GridSize: 8
Generation 26 | Revalues: 5820 | GridSize: 9
Generation 27 | Revalues: 6052 | GridSize: 6
Generation 28 | Revalues: 6246 | GridSize: 9
Generation 29 | Revalues: 6468 | GridSize: 4
Generation 30 | Revalues: 6670 | GridSize: 5
Generation 31 | Revalues: 6898 | GridSize: 6
Generation 32 | Revalues: 7142 | GridSize: 8
Generation 33 | Revalues: 7368 | GridSize: 9
Generation 34 | Revalues: 7626 | GridSize: 6
Generation 35 | Revalues: 7850 | GridSize: 9
Generation 36 | Revalues: 8108 | GridSize: 6
Generation 37 | Revalues: 8314 | GridSize: 7
Generation 38 | Revalues: 8526 | GridSize: 7
Generation 39 | Revalues: 8734 | GridSize: 6
Generation 40 | Revalues: 8930 | GridSize: 5
Generation 41 | Revalues: 9162 | GridSize: 7
Generation 42 | Revalues: 9378 | GridSize: 8
Generation 43 | Revalues: 9584 | GridSize: 12
Generation 44 | Revalues: 9816 | GridSize: 9
Generation 45 | Revalues: 10020 | GridSize: 7
Generation 46 | Revalues: 10248 | GridSize: 8
Generation 47 | Revalues: 10494 | GridSize: 12
Generation 48 | Revalues: 10682 | GridSize: 14
Generation 49 | Revalues: 10930 | GridSize: 12
Generation 50 | Revalues: 11158 | GridSize: 11
Generation 51 | Revalues: 11400 | GridSize: 12
Generation 52 | Revalues: 11594 | GridSize: 10
Generation 53 | Revalues: 11806 | GridSize: 11
Generation 54 | Revalues: 12028 | GridSize: 11
Generation 55 | Revalues: 12224 | GridSize: 10
Generation 56 | Revalues: 12458 | GridSize: 7
Generation 57 | Revalues: 12656 | GridSize: 10
Generation 58 | Revalues: 12866 | GridSize: 13
Generation 59 | Revalues: 13092 | GridSize: 15
Generation 60 | Revalues: 13306 | GridSize: 8
Generation 61 | Revalues: 13520 | GridSize: 10
Generation 62 | Revalues: 13734 | GridSize: 11
Generation 63 | Revalues: 13960 | GridSize: 10
Generation 64 | Revalues: 14182 | GridSize: 12
Generation 65 | Revalues: 14380 | GridSize: 10
Generation 66 | Revalues: 14594 | GridSize: 10
Generation 67 | Revalues: 14794 | GridSize: 13
Generation 68 | Revalues: 15002 | GridSize: 14
Generation 69 | Revalues: 15240 | GridSize: 15
Generation 70 | Revalues: 15454 | GridSize: 17
Generation 71 | Revalues: 15672 | GridSize: 19
Generation 72 | Revalues: 15870 | GridSize: 15
Generation 73 | Revalues: 16094 | GridSize: 15
Generation 74 | Revalues: 16318 | GridSize: 14
Generation 75 | Revalues: 16536 | GridSize: 13
Generation 76 | Revalues: 16756 | GridSize: 16
Generation 77 | Revalues: 16974 | GridSize: 17
Generation 78 | Revalues: 17198 | GridSize: 19
Generation 79 | Revalues: 17390 | GridSize: 14
Generation 80 | Revalues: 17624 | GridSize: 10
Generation 81 | Revalues: 17850 | GridSize: 13
Generation 82 | Revalues: 18068 | GridSize: 12
Generation 83 | Revalues: 18300 | GridSize: 11
Generation 84 | Revalues: 18518 | GridSize: 14
Generation 85 | Revalues: 18736 | GridSize: 14
Generation 86 | Revalues: 18948 | GridSize: 14
Generation 87 | Revalues: 19164 | GridSize: 14
Generation 88 | Revalues: 19378 | GridSize: 16
Generation 89 | Revalues: 19602 | GridSize: 12
Generation 90 | Revalues: 19818 | GridSize: 13
Generation 91 | Revalues: 20036 | GridSize: 17
Generation 92 | Revalues: 20260 | GridSize: 16
Generation 93 | Revalues: 20484 | GridSize: 16
Generation 94 | Revalues: 20674 | GridSize: 19
Generation 95 | Revalues: 20914 | GridSize: 20
Generation 96 | Revalues: 21112 | GridSize: 16
Generation 97 | Revalues: 21356 | GridSize: 16
Generation 98 | Revalues: 21566 | GridSize: 16
Generation 99 | Revalues: 21774 | GridSize: 12
Generation 100 | Revalues: 22000 | GridSize: 12
Generation 101 | Revalues: 22242 | GridSize: 14
Generation 102 | Revalues: 22452 | GridSize: 15
Generation 103 | Revalues: 22662 | GridSize: 15
Generation 104 | Revalues: 22860 | GridSize: 15
Generation 105 | Revalues: 23084 | GridSize: 13
Generation 106 | Revalues: 23298 | GridSize: 17
Generation 107 | Revalues: 23512 | GridSize: 19
Generation 108 | Revalues: 23732 | GridSize: 19
Generation 109 | Revalues: 23958 | GridSize: 17
Generation 110 | Revalues: 24164 | GridSize: 19
Generation 111 | Revalues: 24380 | GridSize: 19
Generation 112 | Revalues: 24602 | GridSize: 19
