Generation 0 | Revalues: 100 | GridSize: 8
Generation 1 | Revalues: 306 | GridSize: 16
Generation 2 | Revalues: 502 | GridSize: 13
Generation 3 | Revalues: 704 | GridSize: 20
Generation 4 | Revalues: 926 | GridSize: 24
Generation 5 | Revalues: 1150 | GridSize: 25
Generation 6 | Revalues: 1368 | GridSize: 30
Generation 7 | Revalues: 1538 | GridSize: 30
Generation 8 | Revalues: 1734 | GridSize: 34
Generation 9 | Revalues: 1934 | GridSize: 33
Generation 10 | Revalues: 2132 | GridSize: 34
Generation 11 | Revalues: 2296 | GridSize: 38
Generation 12 | Revalues: 2500 | GridSize: 38
Generation 13 | Revalues: 2700 | GridSize: 42
Generation 14 | Revalues: 2896 | GridSize: 45
Generation 15 | Revalues: 3108 | GridSize: 45
Generation 16 | Revalues: 3306 | GridSize: 43
Generation 17 | Revalues: 3506 | GridSize: 44
Generation 18 | Revalues: 3698 | GridSize: 45
Generation 19 | Revalues: 3878 | GridSize: 47
Generation 20 | Revalues: 4088 | GridSize: 46
Generation 21 | Revalues: 4304 | GridSize: 47
Generation 22 | Revalues: 4498 | GridSize: 45
Generation 23 | Revalues: 4698 | GridSize: 46
Generation 24 | Revalues: 4916 | GridSize: 48
Generation 25 | Revalues: 5102 | GridSize: 50
Generation 26 | Revalues: 5320 | GridSize: 58
Generation 27 | Revalues: 5518 | GridSize: 61
Generation 28 | Revalues: 5716 | GridSize: 61
Generation 29 | Revalues: 5908 | GridSize: 61
Generation 30 | Revalues: 6104 | GridSize: 58
Generation 31 | Revalues: 6322 | GridSize: 52
Generation 32 | Revalues: 6540 | GridSize: 50
Generation 33 | Revalues: 6742 | GridSize: 47
Generation 34 | Revalues: 6908 | GridSize: 47
Generation 35 | Revalues: 7120 | GridSize: 44
Generation 36 | Revalues: 7352 | GridSize: 47
Generation 37 | Revalues: 7566 | GridSize: 50
Generation 38 | Revalues: 7774 | GridSize: 50
Generation 39 | Revalues: 7980 | GridSize: 48
Generation 40 | Revalues: 8160 | GridSize: 49
Generation 41 | Revalues: 8374 | GridSize: 50
Generation 42 | Revalues: 8582 | GridSize: 50
Generation 43 | Revalues: 8778 | GridSize: 56
Generation 44 | Revalues: 8964 | GridSize: 50
Generation 45 | Revalues: 9168 | GridSize: 53
Generation 46 | Revalues: 9338 | GridSize: 55
Generation 47 | Revalues: 9540 | GridSize: 49
Generation 48 | Revalues: 9752 | GridSize: 49
Generation 49 | Revalues: 9962 | GridSize: 48
Generation 50 | Revalues: 10186 | GridSize: 41
Generation 51 | Revalues: 10394 | GridSize: 43
Generation 52 | Revalues: 10596 | GridSize: 44
Generation 53 | Revalues: 10800 | GridSize: 45
Generation 54 | Revalues: 11018 | GridSize: 46
Generation 55 | Revalues: 11214 | GridSize: 45
Generation 56 | Revalues: 11410 | GridSize: 46
Generation 57 | Revalues: 11594 | GridSize: 48
Generation 58 | Revalues: 11798 | GridSize: 48
Generation 59 | Revalues: 12000 | GridSize: 49
Generation 60 | Revalues: 12230 | GridSize: 46
Generation 61 | Revalues: 12452 | GridSize: 47
Generation 62 | Revalues: 12666 | GridSize: 48
Generation 63 | Revalues: 12856 | GridSize: 51
Generation 64 | Revalues: 13058 | GridSize: 54
Generation 65 | Revalues: 13280 | GridSize: 55
Generation 66 | Revalues: 13498 | GridSize: 57
Generation 67 | Revalues: 13714 | GridSize: 57
Generation 68 | Revalues: 13910 | GridSize: 59
Generation 69 | Revalues: 14098 | GridSize: 60
Generation 70 | Revalues: 14296 | GridSize: 63
Generation 71 | Revalues: 14484 | GridSize: 63
Generation 72 | Revalues: 14710 | GridSize: 63
Generation 73 | Revalues: 14906 | GridSize: 61
Generation 74 | Revalues: 15112 | GridSize: 60
Generation 75 | Revalues: 15324 | GridSize: 58
Generation 76 | Revalues: 15536 | GridSize: 58
Generation 77 | Revalues: 15750 | GridSize: 56
Generation 78 | Revalues: 15962 | GridSize: 59
Generation 79 | Revalues: 16182 | GridSize: 58
Generation 80 | Revalues: 16398 | GridSize: 58
Generation 81 | Revalues: 16594 | GridSize: 57
Generation 82 | Revalues: 16806 | GridSize: 61
Generation 83 | Revalues: 17026 | GridSize: 62
Generation 84 | Revalues: 17208 | GridSize: 63
Generation 85 | Revalues: 17410 | GridSize: 62
Generation 86 | Revalues: 17602 | GridSize: 62
Generation 87 | Revalues: 17790 | GridSize: 59
