Generation 0 | Revalues: 100 | GridSize: 9
Generation 1 | Revalues: 292 | GridSize: 10
Generation 2 | Revalues: 492 | GridSize: 11
Generation 3 | Revalues: 690 | GridSize: 16
Generation 4 | Revalues: 918 | GridSize: 19
Generation 5 | Revalues: 1128 | GridSize: 22
Generation 6 | Revalues: 1332 | GridSize: 17
Generation 7 | Revalues: 1514 | GridSize: 15
Generation 8 | Revalues: 1698 | GridSize: 16
Generation 9 | Revalues: 1912 | GridSize: 19
Generation 10 | Revalues: 2088 | GridSize: 21
Generation 11 | Revalues: 2292 | GridSize: 20
Generation 12 | Revalues: 2498 | GridSize: 23
Generation 13 | Revalues: 2692 | GridSize: 24
Generation 14 | Revalues: 2896 | GridSize: 28
Generation 15 | Revalues: 3080 | GridSize: 31
Generation 16 | Revalues: 3282 | GridSize: 34
Generation 17 | Revalues: 3478 | GridSize: 37
Generation 18 | Revalues: 3684 | GridSize: 35
Generation 19 | Revalues: 3874 | GridSize: 38
Generation 20 | Revalues: 4088 | GridSize: 39
Generation 21 | Revalues: 4294 | GridSize: 39
Generation 22 | Revalues: 4490 | GridSize: 41
Generation 23 | Revalues: 4698 | GridSize: 44
Generation 24 | Revalues: 4900 | GridSize: 43
Generation 25 | Revalues: 5088 | GridSize: 42
Generation 26 | Revalues: 5256 | GridSize: 43
Generation 27 | Revalues: 5454 | GridSize: 44
Generation 28 | Revalues: 5670 | GridSize: 45
Generation 29 | Revalues: 5858 | GridSize: 47
Generation 30 | Revalues: 6052 | GridSize: 52
Generation 31 | Revalues: 6264 | GridSize: 54
Generation 32 | Revalues: 6432 | GridSize: 54
Generation 33 | Revalues: 6638 | GridSize: 56
Generation 34 | Revalues: 6820 | GridSize: 51
Generation 35 | Revalues: 7032 | GridSize: 51
Generation 36 | Revalues: 7232 | GridSize: 52
Generation 37 | Revalues: 7428 | GridSize: 52
Generation 38 | Revalues: 7626 | GridSize: 54
Generation 39 | Revalues: 7850 | GridSize: 56
Generation 40 | Revalues: 8038 | GridSize: 53
Generation 41 | Revalues: 8234 | GridSize: 54
Generation 42 | Revalues: 8440 | GridSize: 53
Generation 43 | Revalues: 8644 | GridSize: 54
