Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 332 | GridSize: 9
Generation 2 | Revalues: 546 | GridSize: 8
Generation 3 | Revalues: 762 | GridSize: 7
Generation 4 | Revalues: 996 | GridSize: 14
Generation 5 | Revalues: 1226 | GridSize: 8
Generation 6 | Revalues: 1430 | GridSize: 6
Generation 7 | Revalues: 1662 | GridSize: 9
Generation 8 | Revalues: 1902 | GridSize: 14
Generation 9 | Revalues: 2124 | GridSize: 9
Generation 10 | Revalues: 2350 | GridSize: 7
Generation 11 | Revalues: 2542 | GridSize: 10
Generation 12 | Revalues: 2750 | GridSize: 9
Generation 13 | Revalues: 2976 | GridSize: 7
Generation 14 | Revalues: 3184 | GridSize: 10
Generation 15 | Revalues: 3378 | GridSize: 10
Generation 16 | Revalues: 3604 | GridSize: 13
Generation 17 | Revalues: 3832 | GridSize: 14
Generation 18 | Revalues: 4066 | GridSize: 12
Generation 19 | Revalues: 4254 | GridSize: 14
Generation 20 | Revalues: 4506 | GridSize: 9
Generation 21 | Revalues: 4728 | GridSize: 11
Generation 22 | Revalues: 4918 | GridSize: 15
Generation 23 | Revalues: 5112 | GridSize: 15
Generation 24 | Revalues: 5336 | GridSize: 18
Generation 25 | Revalues: 5544 | GridSize: 12
Generation 26 | Revalues: 5740 | GridSize: 10
Generation 27 | Revalues: 5944 | GridSize: 11
Generation 28 | Revalues: 6164 | GridSize: 12
Generation 29 | Revalues: 6360 | GridSize: 16
Generation 30 | Revalues: 6576 | GridSize: 18
Generation 31 | Revalues: 6784 | GridSize: 15
Generation 32 | Revalues: 7016 | GridSize: 13
Generation 33 | Revalues: 7234 | GridSize: 18
Generation 34 | Revalues: 7452 | GridSize: 19
Generation 35 | Revalues: 7680 | GridSize: 15
Generation 36 | Revalues: 7904 | GridSize: 13
Generation 37 | Revalues: 8118 | GridSize: 15
Generation 38 | Revalues: 8308 | GridSize: 16
Generation 39 | Revalues: 8512 | GridSize: 19
Generation 40 | Revalues: 8720 | GridSize: 13
Generation 41 | Revalues: 8926 | GridSize: 14
Generation 42 | Revalues: 9134 | GridSize: 11
Generation 43 | Revalues: 9392 | GridSize: 15
Generation 44 | Revalues: 9622 | GridSize: 14
Generation 45 | Revalues: 9822 | GridSize: 12
Generation 46 | Revalues: 10060 | GridSize: 13
Generation 47 | Revalues: 10300 | GridSize: 16
Generation 48 | Revalues: 10516 | GridSize: 14
Generation 49 | Revalues: 10738 | GridSize: 15
Generation 50 | Revalues: 10974 | GridSize: 15
Generation 51 | Revalues: 11182 | GridSize: 16
Generation 52 | Revalues: 11380 | GridSize: 20
Generation 53 | Revalues: 11604 | GridSize: 14
Generation 54 | Revalues: 11824 | GridSize: 13
Generation 55 | Revalues: 12072 | GridSize: 13
Generation 56 | Revalues: 12272 | GridSize: 10
Generation 57 | Revalues: 12480 | GridSize: 13
Generation 58 | Revalues: 12680 | GridSize: 17
Generation 59 | Revalues: 12896 | GridSize: 13
Generation 60 | Revalues: 13124 | GridSize: 5
Generation 61 | Revalues: 13338 | GridSize: 7
Generation 62 | Revalues: 13578 | GridSize: 10
Generation 63 | Revalues: 13774 | GridSize: 13
Generation 64 | Revalues: 13990 | GridSize: 14
Generation 65 | Revalues: 14202 | GridSize: 11
Generation 66 | Revalues: 14410 | GridSize: 16
Generation 67 | Revalues: 14648 | GridSize: 16
Generation 68 | Revalues: 14868 | GridSize: 15
Generation 69 | Revalues: 15098 | GridSize: 10
Generation 70 | Revalues: 15322 | GridSize: 12
Generation 71 | Revalues: 15562 | GridSize: 13
Generation 72 | Revalues: 15798 | GridSize: 14
Generation 73 | Revalues: 16010 | GridSize: 14
Generation 74 | Revalues: 16240 | GridSize: 17
Generation 75 | Revalues: 16450 | GridSize: 13
Generation 76 | Revalues: 16684 | GridSize: 14
Generation 77 | Revalues: 16906 | GridSize: 19
Generation 78 | Revalues: 17130 | GridSize: 19
Generation 79 | Revalues: 17342 | GridSize: 19
Generation 80 | Revalues: 17558 | GridSize: 19
Generation 81 | Revalues: 17780 | GridSize: 15
Generation 82 | Revalues: 18018 | GridSize: 18
Generation 83 | Revalues: 18248 | GridSize: 19
Generation 84 | Revalues: 18498 | GridSize: 19
Generation 85 | Revalues: 18702 | GridSize: 20
Generation 86 | Revalues: 18928 | GridSize: 21
Generation 87 | Revalues: 19156 | GridSize: 20
Generation 88 | Revalues: 19394 | GridSize: 23
Generation 89 | Revalues: 19610 | GridSize: 23
Generation 90 | Revalues: 19790 | GridSize: 25
Generation 91 | Revalues: 20014 | GridSize: 20
Generation 92 | Revalues: 20252 | GridSize: 21
Generation 93 | Revalues: 20502 | GridSize: 21
Generation 94 | Revalues: 20732 | GridSize: 17
Generation 95 | Revalues: 20980 | GridSize: 17
Generation 96 | Revalues: 21192 | GridSize: 18
Generation 97 | Revalues: 21410 | GridSize: 18
Generation 98 | Revalues: 21636 | GridSize: 19
Generation 99 | Revalues: 21876 | GridSize: 19
Generation 100 | Revalues: 22082 | GridSize: 21
Generation 101 | Revalues: 22326 | GridSize: 21
Generation 102 | Revalues: 22546 | GridSize: 19
Generation 103 | Revalues: 22766 | GridSize: 18
Generation 104 | Revalues: 22994 | GridSize: 18
Generation 105 | Revalues: 23202 | GridSize: 18
Generation 106 | Revalues: 23422 | GridSize: 19
Generation 107 | Revalues: 23638 | GridSize: 20
Generation 108 | Revalues: 23848 | GridSize: 21
Generation 109 | Revalues: 24080 | GridSize: 20
Generation 110 | Revalues: 24324 | GridSize: 20
Generation 111 | Revalues: 24532 | GridSize: 23
Generation 112 | Revalues: 24742 | GridSize: 21
Generation 113 | Revalues: 24954 | GridSize: 17
Generation 114 | Revalues: 25176 | GridSize: 17
Generation 115 | Revalues: 25394 | GridSize: 17
Generation 116 | Revalues: 25608 | GridSize: 20
Generation 117 | Revalues: 25848 | GridSize: 19
Generation 118 | Revalues: 26054 | GridSize: 20
Generation 119 | Revalues: 26292 | GridSize: 24
Generation 120 | Revalues: 26516 | GridSize: 20
Generation 121 | Revalues: 26738 | GridSize: 23
Generation 122 | Revalues: 26956 | GridSize: 18
Generation 123 | Revalues: 27170 | GridSize: 19
Generation 124 | Revalues: 27382 | GridSize: 22
Generation 125 | Revalues: 27604 | GridSize: 23
Generation 126 | Revalues: 27816 | GridSize: 23
Generation 127 | Revalues: 28018 | GridSize: 24
Generation 128 | Revalues: 28232 | GridSize: 25
Generation 129 | Revalues: 28444 | GridSize: 26
Generation 130 | Revalues: 28642 | GridSize: 29
Generation 131 | Revalues: 28872 | GridSize: 29
Generation 132 | Revalues: 29076 | GridSize: 32
Generation 133 | Revalues: 29318 | GridSize: 32
Generation 134 | Revalues: 29548 | GridSize: 32
Generation 135 | Revalues: 29754 | GridSize: 29
Generation 136 | Revalues: 29988 | GridSize: 28
Generation 137 | Revalues: 30202 | GridSize: 31
Generation 138 | Revalues: 30418 | GridSize: 28
Generation 139 | Revalues: 30642 | GridSize: 29
Generation 140 | Revalues: 30852 | GridSize: 28
Generation 141 | Revalues: 31086 | GridSize: 29
Generation 142 | Revalues: 31318 | GridSize: 29
Generation 143 | Revalues: 31536 | GridSize: 29
Generation 144 | Revalues: 31756 | GridSize: 26
Generation 145 | Revalues: 31988 | GridSize: 24
Generation 146 | Revalues: 32228 | GridSize: 25
Generation 147 | Revalues: 32432 | GridSize: 25
Generation 148 | Revalues: 32642 | GridSize: 27
Generation 149 | Revalues: 32876 | GridSize: 27
Generation 150 | Revalues: 33100 | GridSize: 29
Generation 151 | Revalues: 33316 | GridSize: 25
Generation 152 | Revalues: 33534 | GridSize: 28
Generation 153 | Revalues: 33764 | GridSize: 30
Generation 154 | Revalues: 33968 | GridSize: 35
Generation 155 | Revalues: 34174 | GridSize: 38
Generation 156 | Revalues: 34368 | GridSize: 39
Generation 157 | Revalues: 34594 | GridSize: 38
Generation 158 | Revalues: 34816 | GridSize: 39
Generation 159 | Revalues: 35028 | GridSize: 38
Generation 160 | Revalues: 35250 | GridSize: 35
Generation 161 | Revalues: 35480 | GridSize: 34
Generation 162 | Revalues: 35728 | GridSize: 37
Generation 163 | Revalues: 35958 | GridSize: 39
Generation 164 | Revalues: 36178 | GridSize: 41
Generation 165 | Revalues: 36406 | GridSize: 35
Generation 166 | Revalues: 36634 | GridSize: 36
Generation 167 | Revalues: 36870 | GridSize: 38
Generation 168 | Revalues: 37082 | GridSize: 41
Generation 169 | Revalues: 37308 | GridSize: 38
Generation 170 | Revalues: 37508 | GridSize: 38
Generation 171 | Revalues: 37744 | GridSize: 38
Generation 172 | Revalues: 37960 | GridSize: 38
Generation 173 | Revalues: 38172 | GridSize: 40
Generation 174 | Revalues: 38408 | GridSize: 40
Generation 175 | Revalues: 38616 | GridSize: 39
Generation 176 | Revalues: 38868 | GridSize: 40
Generation 177 | Revalues: 39080 | GridSize: 40
Generation 178 | Revalues: 39314 | GridSize: 39
Generation 179 | Revalues: 39550 | GridSize: 39
Generation 180 | Revalues: 39746 | GridSize: 39
Generation 181 | Revalues: 39962 | GridSize: 42
Generation 182 | Revalues: 40176 | GridSize: 43
Generation 183 | Revalues: 40412 | GridSize: 44
Generation 184 | Revalues: 40658 | GridSize: 41
Generation 185 | Revalues: 40898 | GridSize: 41
Generation 186 | Revalues: 41134 | GridSize: 42
Generation 187 | Revalues: 41370 | GridSize: 44
Generation 188 | Revalues: 41594 | GridSize: 43
Generation 189 | Revalues: 41832 | GridSize: 43
Generation 190 | Revalues: 42034 | GridSize: 43
Generation 191 | Revalues: 42220 | GridSize: 40
Generation 192 | Revalues: 42436 | GridSize: 40
Generation 193 | Revalues: 42652 | GridSize: 45
Generation 194 | Revalues: 42866 | GridSize: 46
Generation 195 | Revalues: 43090 | GridSize: 47
Generation 196 | Revalues: 43286 | GridSize: 41
Generation 197 | Revalues: 43496 | GridSize: 45
Generation 198 | Revalues: 43732 | GridSize: 45
Generation 199 | Revalues: 43948 | GridSize: 49
Generation 200 | Revalues: 44182 | GridSize: 52
Generation 201 | Revalues: 44394 | GridSize: 52
Generation 202 | Revalues: 44604 | GridSize: 52
Generation 203 | Revalues: 44822 | GridSize: 54
Generation 204 | Revalues: 45024 | GridSize: 55
Generation 205 | Revalues: 45244 | GridSize: 56
Generation 206 | Revalues: 45478 | GridSize: 58
Generation 207 | Revalues: 45706 | GridSize: 59
Generation 208 | Revalues: 45912 | GridSize: 55
Generation 209 | Revalues: 46134 | GridSize: 56
Generation 210 | Revalues: 46350 | GridSize: 57
Generation 211 | Revalues: 46582 | GridSize: 56
Generation 212 | Revalues: 46816 | GridSize: 56
Generation 213 | Revalues: 47054 | GridSize: 55
Generation 214 | Revalues: 47272 | GridSize: 56
Generation 215 | Revalues: 47494 | GridSize: 57
Generation 216 | Revalues: 47702 | GridSize: 56
Generation 217 | Revalues: 47902 | GridSize: 55
Generation 218 | Revalues: 48128 | GridSize: 48
Generation 219 | Revalues: 48308 | GridSize: 48
Generation 220 | Revalues: 48506 | GridSize: 49
Generation 221 | Revalues: 48710 | GridSize: 48
Generation 222 | Revalues: 48920 | GridSize: 53
Generation 223 | Revalues: 49146 | GridSize: 53
Generation 224 | Revalues: 49378 | GridSize: 53
Generation 225 | Revalues: 49600 | GridSize: 46
Generation 226 | Revalues: 49822 | GridSize: 46
Generation 227 | Revalues: 50034 | GridSize: 47
Generation 228 | Revalues: 50262 | GridSize: 46
Generation 229 | Revalues: 50484 | GridSize: 46
Generation 230 | Revalues: 50696 | GridSize: 46
Generation 231 | Revalues: 50922 | GridSize: 50
Generation 232 | Revalues: 51134 | GridSize: 54
Generation 233 | Revalues: 51356 | GridSize: 52
Generation 234 | Revalues: 51570 | GridSize: 50
Generation 235 | Revalues: 51794 | GridSize: 54
Generation 236 | Revalues: 52014 | GridSize: 47
Generation 237 | Revalues: 52232 | GridSize: 50
Generation 238 | Revalues: 52452 | GridSize: 51
Generation 239 | Revalues: 52654 | GridSize: 52
Generation 240 | Revalues: 52898 | GridSize: 54
Generation 241 | Revalues: 53110 | GridSize: 58
Generation 242 | Revalues: 53336 | GridSize: 56
Generation 243 | Revalues: 53562 | GridSize: 56
Generation 244 | Revalues: 53778 | GridSize: 59
Generation 245 | Revalues: 53998 | GridSize: 55
Generation 246 | Revalues: 54218 | GridSize: 54
Generation 247 | Revalues: 54442 | GridSize: 51
Generation 248 | Revalues: 54664 | GridSize: 53
Generation 249 | Revalues: 54868 | GridSize: 53
Generation 250 | Revalues: 55102 | GridSize: 54
Generation 251 | Revalues: 55316 | GridSize: 57
Generation 252 | Revalues: 55542 | GridSize: 56
Generation 253 | Revalues: 55746 | GridSize: 59
Generation 254 | Revalues: 55974 | GridSize: 59
Generation 255 | Revalues: 56204 | GridSize: 59
Generation 256 | Revalues: 56434 | GridSize: 59
Generation 257 | Revalues: 56664 | GridSize: 61
Generation 258 | Revalues: 56894 | GridSize: 59
Generation 259 | Revalues: 57132 | GridSize: 60
Generation 260 | Revalues: 57352 | GridSize: 60
Generation 261 | Revalues: 57570 | GridSize: 63
Generation 262 | Revalues: 57770 | GridSize: 61
Generation 263 | Revalues: 57990 | GridSize: 64
Generation 264 | Revalues: 58198 | GridSize: 65
Generation 265 | Revalues: 58426 | GridSize: 62
Generation 266 | Revalues: 58660 | GridSize: 66
Generation 267 | Revalues: 58884 | GridSize: 66
Generation 268 | Revalues: 59112 | GridSize: 67
Generation 269 | Revalues: 59314 | GridSize: 69
Generation 270 | Revalues: 59530 | GridSize: 73
Generation 271 | Revalues: 59788 | GridSize: 69
Generation 272 | Revalues: 60000 | GridSize: 67
Generation 273 | Revalues: 60224 | GridSize: 66
Generation 274 | Revalues: 60428 | GridSize: 66
Generation 275 | Revalues: 60636 | GridSize: 68
Generation 276 | Revalues: 60852 | GridSize: 69
Generation 277 | Revalues: 61068 | GridSize: 72
Generation 278 | Revalues: 61302 | GridSize: 75
Generation 279 | Revalues: 61538 | GridSize: 76
Generation 280 | Revalues: 61778 | GridSize: 78
Generation 281 | Revalues: 61984 | GridSize: 80
Generation 282 | Revalues: 62184 | GridSize: 77
Generation 283 | Revalues: 62374 | GridSize: 72
Generation 284 | Revalues: 62590 | GridSize: 76
Generation 285 | Revalues: 62822 | GridSize: 76
Generation 286 | Revalues: 63040 | GridSize: 70
Generation 287 | Revalues: 63250 | GridSize: 70
Generation 288 | Revalues: 63468 | GridSize: 66
Generation 289 | Revalues: 63686 | GridSize: 64
Generation 290 | Revalues: 63916 | GridSize: 59
Generation 291 | Revalues: 64132 | GridSize: 56
Generation 292 | Revalues: 64346 | GridSize: 54
Generation 293 | Revalues: 64560 | GridSize: 55
Generation 294 | Revalues: 64798 | GridSize: 55
Generation 295 | Revalues: 65020 | GridSize: 56
Generation 296 | Revalues: 65244 | GridSize: 55
Generation 297 | Revalues: 65454 | GridSize: 55
Generation 298 | Revalues: 65684 | GridSize: 50
Generation 299 | Revalues: 65888 | GridSize: 50
Generation 300 | Revalues: 66104 | GridSize: 50
Generation 301 | Revalues: 66322 | GridSize: 52
Generation 302 | Revalues: 66532 | GridSize: 55
Generation 303 | Revalues: 66756 | GridSize: 55
Generation 304 | Revalues: 66960 | GridSize: 54
Generation 305 | Revalues: 67192 | GridSize: 51
Generation 306 | Revalues: 67412 | GridSize: 53
Generation 307 | Revalues: 67626 | GridSize: 56
Generation 308 | Revalues: 67866 | GridSize: 61
Generation 309 | Revalues: 68092 | GridSize: 63
Generation 310 | Revalues: 68334 | GridSize: 65
Generation 311 | Revalues: 68542 | GridSize: 66
Generation 312 | Revalues: 68754 | GridSize: 68
Generation 313 | Revalues: 68980 | GridSize: 67
Generation 314 | Revalues: 69226 | GridSize: 67
Generation 315 | Revalues: 69440 | GridSize: 66
Generation 316 | Revalues: 69678 | GridSize: 68
Generation 317 | Revalues: 69908 | GridSize: 67
Generation 318 | Revalues: 70138 | GridSize: 65
Generation 319 | Revalues: 70308 | GridSize: 67
Generation 320 | Revalues: 70544 | GridSize: 70
Generation 321 | Revalues: 70766 | GridSize: 71
Generation 322 | Revalues: 70998 | GridSize: 69
Generation 323 | Revalues: 71222 | GridSize: 71
Generation 324 | Revalues: 71440 | GridSize: 72
Generation 325 | Revalues: 71640 | GridSize: 70
Generation 326 | Revalues: 71862 | GridSize: 69
Generation 327 | Revalues: 72066 | GridSize: 65
Generation 328 | Revalues: 72272 | GridSize: 65
Generation 329 | Revalues: 72506 | GridSize: 65
Generation 330 | Revalues: 72716 | GridSize: 64
Generation 331 | Revalues: 72920 | GridSize: 65
Generation 332 | Revalues: 73140 | GridSize: 63
