Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 302 | GridSize: 5
Generation 2 | Revalues: 488 | GridSize: 9
Generation 3 | Revalues: 712 | GridSize: 8
Generation 4 | Revalues: 882 | GridSize: 8
Generation 5 | Revalues: 1082 | GridSize: 8
Generation 6 | Revalues: 1302 | GridSize: 8
Generation 7 | Revalues: 1490 | GridSize: 8
Generation 8 | Revalues: 1684 | GridSize: 9
Generation 9 | Revalues: 1906 | GridSize: 9
Generation 10 | Revalues: 2110 | GridSize: 10
Generation 11 | Revalues: 2304 | GridSize: 10
Generation 12 | Revalues: 2502 | GridSize: 11
Generation 13 | Revalues: 2710 | GridSize: 11
Generation 14 | Revalues: 2916 | GridSize: 11
Generation 15 | Revalues: 3126 | GridSize: 12
Generation 16 | Revalues: 3332 | GridSize: 12
Generation 17 | Revalues: 3556 | GridSize: 12
Generation 18 | Revalues: 3752 | GridSize: 12
Generation 19 | Revalues: 3944 | GridSize: 12
Generation 20 | Revalues: 4128 | GridSize: 13
Generation 21 | Revalues: 4352 | GridSize: 13
Generation 22 | Revalues: 4556 | GridSize: 13
Generation 23 | Revalues: 4732 | GridSize: 13
Generation 24 | Revalues: 4946 | GridSize: 13
Generation 25 | Revalues: 5136 | GridSize: 13
Generation 26 | Revalues: 5344 | GridSize: 13
Generation 27 | Revalues: 5520 | GridSize: 13
Generation 28 | Revalues: 5712 | GridSize: 13
Generation 29 | Revalues: 5928 | GridSize: 13
Generation 30 | Revalues: 6124 | GridSize: 14
Generation 31 | Revalues: 6346 | GridSize: 14
Generation 32 | Revalues: 6558 | GridSize: 14
Generation 33 | Revalues: 6734 | GridSize: 14
Generation 34 | Revalues: 6928 | GridSize: 14
Generation 35 | Revalues: 7132 | GridSize: 14
Generation 36 | Revalues: 7342 | GridSize: 14
Generation 37 | Revalues: 7528 | GridSize: 14
Generation 38 | Revalues: 7750 | GridSize: 14
Generation 39 | Revalues: 7942 | GridSize: 14
Generation 40 | Revalues: 8148 | GridSize: 14
Generation 41 | Revalues: 8326 | GridSize: 14
Generation 42 | Revalues: 8526 | GridSize: 14
Generation 43 | Revalues: 8714 | GridSize: 14
Generation 44 | Revalues: 8918 | GridSize: 14
Generation 45 | Revalues: 9118 | GridSize: 14
Generation 46 | Revalues: 9300 | GridSize: 14
Generation 47 | Revalues: 9486 | GridSize: 14
Generation 48 | Revalues: 9678 | GridSize: 14
Generation 49 | Revalues: 9876 | GridSize: 14
Generation 50 | Revalues: 10088 | GridSize: 14
Generation 51 | Revalues: 10272 | GridSize: 14
Generation 52 | Revalues: 10480 | GridSize: 14
Generation 53 | Revalues: 10658 | GridSize: 14
Generation 54 | Revalues: 10842 | GridSize: 14
Generation 55 | Revalues: 11038 | GridSize: 14
Generation 56 | Revalues: 11232 | GridSize: 14
Generation 57 | Revalues: 11458 | GridSize: 14
Generation 58 | Revalues: 11684 | GridSize: 14
Generation 59 | Revalues: 11892 | GridSize: 14
Generation 60 | Revalues: 12082 | GridSize: 14
Generation 61 | Revalues: 12278 | GridSize: 14
Generation 62 | Revalues: 12446 | GridSize: 14
Generation 63 | Revalues: 12648 | GridSize: 14
Generation 64 | Revalues: 12832 | GridSize: 14
Generation 65 | Revalues: 13020 | GridSize: 14
Generation 66 | Revalues: 13224 | GridSize: 14
Generation 67 | Revalues: 13442 | GridSize: 14
Generation 68 | Revalues: 13648 | GridSize: 14
Generation 69 | Revalues: 13838 | GridSize: 14
Generation 70 | Revalues: 14044 | GridSize: 14
Generation 71 | Revalues: 14248 | GridSize: 14
Generation 72 | Revalues: 14458 | GridSize: 14
Generation 73 | Revalues: 14630 | GridSize: 14
Generation 74 | Revalues: 14852 | GridSize: 14
