Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 332 | GridSize: 9
Generation 2 | Revalues: 540 | GridSize: 9
Generation 3 | Revalues: 726 | GridSize: 11
Generation 4 | Revalues: 918 | GridSize: 13
Generation 5 | Revalues: 1102 | GridSize: 15
Generation 6 | Revalues: 1308 | GridSize: 15
Generation 7 | Revalues: 1508 | GridSize: 19
Generation 8 | Revalues: 1730 | GridSize: 21
Generation 9 | Revalues: 1940 | GridSize: 22
Generation 10 | Revalues: 2162 | GridSize: 22
Generation 11 | Revalues: 2350 | GridSize: 27
Generation 12 | Revalues: 2542 | GridSize: 31
Generation 13 | Revalues: 2748 | GridSize: 33
Generation 14 | Revalues: 2940 | GridSize: 33
Generation 15 | Revalues: 3158 | GridSize: 31
Generation 16 | Revalues: 3344 | GridSize: 33
Generation 17 | Revalues: 3544 | GridSize: 35
Generation 18 | Revalues: 3764 | GridSize: 32
Generation 19 | Revalues: 3956 | GridSize: 29
Generation 20 | Revalues: 4126 | GridSize: 30
Generation 21 | Revalues: 4350 | GridSize: 32
Generation 22 | Revalues: 4552 | GridSize: 29
Generation 23 | Revalues: 4742 | GridSize: 32
Generation 24 | Revalues: 4964 | GridSize: 32
Generation 25 | Revalues: 5154 | GridSize: 29
Generation 26 | Revalues: 5324 | GridSize: 29
Generation 27 | Revalues: 5492 | GridSize: 27
Generation 28 | Revalues: 5682 | GridSize: 28
Generation 29 | Revalues: 5900 | GridSize: 29
Generation 30 | Revalues: 6106 | GridSize: 29
Generation 31 | Revalues: 6314 | GridSize: 30
Generation 32 | Revalues: 6532 | GridSize: 32
Generation 33 | Revalues: 6728 | GridSize: 33
Generation 34 | Revalues: 6948 | GridSize: 34
Generation 35 | Revalues: 7152 | GridSize: 34
Generation 36 | Revalues: 7348 | GridSize: 35
Generation 37 | Revalues: 7532 | GridSize: 35
Generation 38 | Revalues: 7718 | GridSize: 35
Generation 39 | Revalues: 7906 | GridSize: 34
Generation 40 | Revalues: 8116 | GridSize: 33
Generation 41 | Revalues: 8316 | GridSize: 34
Generation 42 | Revalues: 8514 | GridSize: 36
Generation 43 | Revalues: 8718 | GridSize: 36
Generation 44 | Revalues: 8918 | GridSize: 35
Generation 45 | Revalues: 9148 | GridSize: 38
Generation 46 | Revalues: 9354 | GridSize: 36
Generation 47 | Revalues: 9536 | GridSize: 37
Generation 48 | Revalues: 9754 | GridSize: 38
Generation 49 | Revalues: 9932 | GridSize: 41
Generation 50 | Revalues: 10148 | GridSize: 42
Generation 51 | Revalues: 10350 | GridSize: 43
Generation 52 | Revalues: 10530 | GridSize: 44
Generation 53 | Revalues: 10722 | GridSize: 42
Generation 54 | Revalues: 10902 | GridSize: 42
Generation 55 | Revalues: 11086 | GridSize: 43
Generation 56 | Revalues: 11272 | GridSize: 43
Generation 57 | Revalues: 11478 | GridSize: 42
Generation 58 | Revalues: 11700 | GridSize: 44
Generation 59 | Revalues: 11890 | GridSize: 34
Generation 60 | Revalues: 12092 | GridSize: 32
Generation 61 | Revalues: 12298 | GridSize: 34
Generation 62 | Revalues: 12490 | GridSize: 35
Generation 63 | Revalues: 12710 | GridSize: 37
Generation 64 | Revalues: 12906 | GridSize: 35
Generation 65 | Revalues: 13108 | GridSize: 37
Generation 66 | Revalues: 13292 | GridSize: 37
Generation 67 | Revalues: 13488 | GridSize: 34
Generation 68 | Revalues: 13682 | GridSize: 35
Generation 69 | Revalues: 13900 | GridSize: 33
Generation 70 | Revalues: 14106 | GridSize: 34
Generation 71 | Revalues: 14292 | GridSize: 27
Generation 72 | Revalues: 14446 | GridSize: 27
Generation 73 | Revalues: 14638 | GridSize: 24
Generation 74 | Revalues: 14846 | GridSize: 25
Generation 75 | Revalues: 15054 | GridSize: 30
Generation 76 | Revalues: 15276 | GridSize: 33
Generation 77 | Revalues: 15480 | GridSize: 33
Generation 78 | Revalues: 15676 | GridSize: 28
Generation 79 | Revalues: 15890 | GridSize: 27
Generation 80 | Revalues: 16096 | GridSize: 27
Generation 81 | Revalues: 16312 | GridSize: 32
Generation 82 | Revalues: 16518 | GridSize: 32
Generation 83 | Revalues: 16698 | GridSize: 33
Generation 84 | Revalues: 16932 | GridSize: 33
Generation 85 | Revalues: 17138 | GridSize: 33
Generation 86 | Revalues: 17350 | GridSize: 32
Generation 87 | Revalues: 17528 | GridSize: 33
Generation 88 | Revalues: 17762 | GridSize: 35
Generation 89 | Revalues: 17976 | GridSize: 36
Generation 90 | Revalues: 18182 | GridSize: 36
Generation 91 | Revalues: 18416 | GridSize: 34
Generation 92 | Revalues: 18632 | GridSize: 34
Generation 93 | Revalues: 18808 | GridSize: 36
Generation 94 | Revalues: 18996 | GridSize: 36
Generation 95 | Revalues: 19194 | GridSize: 35
Generation 96 | Revalues: 19384 | GridSize: 37
Generation 97 | Revalues: 19572 | GridSize: 40
Generation 98 | Revalues: 19768 | GridSize: 40
Generation 99 | Revalues: 19960 | GridSize: 38
Generation 100 | Revalues: 20186 | GridSize: 39
Generation 101 | Revalues: 20378 | GridSize: 41
Generation 102 | Revalues: 20568 | GridSize: 42
Generation 103 | Revalues: 20774 | GridSize: 42
Generation 104 | Revalues: 20966 | GridSize: 44
Generation 105 | Revalues: 21172 | GridSize: 44
Generation 106 | Revalues: 21386 | GridSize: 44
Generation 107 | Revalues: 21596 | GridSize: 45
Generation 108 | Revalues: 21818 | GridSize: 44
Generation 109 | Revalues: 22032 | GridSize: 44
Generation 110 | Revalues: 22240 | GridSize: 38
Generation 111 | Revalues: 22452 | GridSize: 38
Generation 112 | Revalues: 22636 | GridSize: 39
Generation 113 | Revalues: 22828 | GridSize: 40
Generation 114 | Revalues: 23026 | GridSize: 40
Generation 115 | Revalues: 23220 | GridSize: 41
Generation 116 | Revalues: 23438 | GridSize: 41
Generation 117 | Revalues: 23638 | GridSize: 41
Generation 118 | Revalues: 23854 | GridSize: 42
Generation 119 | Revalues: 24066 | GridSize: 42
Generation 120 | Revalues: 24282 | GridSize: 43
Generation 121 | Revalues: 24474 | GridSize: 43
Generation 122 | Revalues: 24666 | GridSize: 45
Generation 123 | Revalues: 24850 | GridSize: 47
Generation 124 | Revalues: 25026 | GridSize: 47
Generation 125 | Revalues: 25234 | GridSize: 47
Generation 126 | Revalues: 25438 | GridSize: 48
Generation 127 | Revalues: 25652 | GridSize: 47
Generation 128 | Revalues: 25852 | GridSize: 44
Generation 129 | Revalues: 26062 | GridSize: 45
Generation 130 | Revalues: 26262 | GridSize: 44
Generation 131 | Revalues: 26458 | GridSize: 41
Generation 132 | Revalues: 26656 | GridSize: 39
Generation 133 | Revalues: 26852 | GridSize: 41
Generation 134 | Revalues: 27044 | GridSize: 42
Generation 135 | Revalues: 27236 | GridSize: 42
Generation 136 | Revalues: 27426 | GridSize: 42
Generation 137 | Revalues: 27622 | GridSize: 44
Generation 138 | Revalues: 27828 | GridSize: 45
Generation 139 | Revalues: 28048 | GridSize: 46
Generation 140 | Revalues: 28260 | GridSize: 48
Generation 141 | Revalues: 28476 | GridSize: 49
Generation 142 | Revalues: 28656 | GridSize: 52
Generation 143 | Revalues: 28868 | GridSize: 51
Generation 144 | Revalues: 29056 | GridSize: 51
Generation 145 | Revalues: 29258 | GridSize: 52
Generation 146 | Revalues: 29464 | GridSize: 53
Generation 147 | Revalues: 29668 | GridSize: 54
Generation 148 | Revalues: 29866 | GridSize: 56
Generation 149 | Revalues: 30090 | GridSize: 56
Generation 150 | Revalues: 30304 | GridSize: 56
Generation 151 | Revalues: 30520 | GridSize: 52
Generation 152 | Revalues: 30702 | GridSize: 52
Generation 153 | Revalues: 30890 | GridSize: 50
Generation 154 | Revalues: 31112 | GridSize: 49
Generation 155 | Revalues: 31310 | GridSize: 49
Generation 156 | Revalues: 31504 | GridSize: 44
Generation 157 | Revalues: 31704 | GridSize: 44
Generation 158 | Revalues: 31886 | GridSize: 46
Generation 159 | Revalues: 32082 | GridSize: 45
Generation 160 | Revalues: 32290 | GridSize: 47
Generation 161 | Revalues: 32480 | GridSize: 47
Generation 162 | Revalues: 32686 | GridSize: 47
Generation 163 | Revalues: 32876 | GridSize: 47
Generation 164 | Revalues: 33096 | GridSize: 49
Generation 165 | Revalues: 33292 | GridSize: 50
Generation 166 | Revalues: 33514 | GridSize: 52
Generation 167 | Revalues: 33704 | GridSize: 52
Generation 168 | Revalues: 33906 | GridSize: 46
Generation 169 | Revalues: 34100 | GridSize: 43
Generation 170 | Revalues: 34348 | GridSize: 39
Generation 171 | Revalues: 34538 | GridSize: 39
Generation 172 | Revalues: 34718 | GridSize: 40
Generation 173 | Revalues: 34902 | GridSize: 41
Generation 174 | Revalues: 35124 | GridSize: 41
Generation 175 | Revalues: 35318 | GridSize: 42
Generation 176 | Revalues: 35512 | GridSize: 39
Generation 177 | Revalues: 35718 | GridSize: 39
Generation 178 | Revalues: 35918 | GridSize: 39
Generation 179 | Revalues: 36148 | GridSize: 39
Generation 180 | Revalues: 36352 | GridSize: 38
Generation 181 | Revalues: 36560 | GridSize: 41
Generation 182 | Revalues: 36746 | GridSize: 42
Generation 183 | Revalues: 36956 | GridSize: 42
Generation 184 | Revalues: 37142 | GridSize: 40
Generation 185 | Revalues: 37346 | GridSize: 40
Generation 186 | Revalues: 37550 | GridSize: 41
Generation 187 | Revalues: 37752 | GridSize: 41
Generation 188 | Revalues: 37934 | GridSize: 43
Generation 189 | Revalues: 38128 | GridSize: 41
Generation 190 | Revalues: 38306 | GridSize: 41
Generation 191 | Revalues: 38534 | GridSize: 43
Generation 192 | Revalues: 38728 | GridSize: 44
Generation 193 | Revalues: 38902 | GridSize: 43
Generation 194 | Revalues: 39114 | GridSize: 43
Generation 195 | Revalues: 39302 | GridSize: 42
Generation 196 | Revalues: 39498 | GridSize: 42
Generation 197 | Revalues: 39684 | GridSize: 42
Generation 198 | Revalues: 39886 | GridSize: 42
Generation 199 | Revalues: 40088 | GridSize: 43
Generation 200 | Revalues: 40290 | GridSize: 45
Generation 201 | Revalues: 40474 | GridSize: 45
Generation 202 | Revalues: 40682 | GridSize: 45
Generation 203 | Revalues: 40868 | GridSize: 45
Generation 204 | Revalues: 41052 | GridSize: 47
Generation 205 | Revalues: 41232 | GridSize: 48
Generation 206 | Revalues: 41442 | GridSize: 46
Generation 207 | Revalues: 41632 | GridSize: 47
Generation 208 | Revalues: 41816 | GridSize: 47
Generation 209 | Revalues: 42036 | GridSize: 43
Generation 210 | Revalues: 42248 | GridSize: 43
Generation 211 | Revalues: 42434 | GridSize: 44
Generation 212 | Revalues: 42630 | GridSize: 46
Generation 213 | Revalues: 42822 | GridSize: 46
Generation 214 | Revalues: 43016 | GridSize: 47
Generation 215 | Revalues: 43232 | GridSize: 50
Generation 216 | Revalues: 43436 | GridSize: 51
Generation 217 | Revalues: 43632 | GridSize: 52
Generation 218 | Revalues: 43858 | GridSize: 51
Generation 219 | Revalues: 44058 | GridSize: 51
Generation 220 | Revalues: 44268 | GridSize: 51
Generation 221 | Revalues: 44460 | GridSize: 52
Generation 222 | Revalues: 44666 | GridSize: 52
Generation 223 | Revalues: 44876 | GridSize: 52
Generation 224 | Revalues: 45094 | GridSize: 54
Generation 225 | Revalues: 45304 | GridSize: 54
Generation 226 | Revalues: 45490 | GridSize: 56
Generation 227 | Revalues: 45694 | GridSize: 57
Generation 228 | Revalues: 45890 | GridSize: 58
Generation 229 | Revalues: 46100 | GridSize: 58
Generation 230 | Revalues: 46308 | GridSize: 58
Generation 231 | Revalues: 46484 | GridSize: 59
Generation 232 | Revalues: 46672 | GridSize: 59
Generation 233 | Revalues: 46878 | GridSize: 61
Generation 234 | Revalues: 47064 | GridSize: 61
Generation 235 | Revalues: 47284 | GridSize: 60
Generation 236 | Revalues: 47464 | GridSize: 58
Generation 237 | Revalues: 47660 | GridSize: 58
Generation 238 | Revalues: 47858 | GridSize: 57
Generation 239 | Revalues: 48044 | GridSize: 56
Generation 240 | Revalues: 48254 | GridSize: 56
Generation 241 | Revalues: 48486 | GridSize: 56
Generation 242 | Revalues: 48694 | GridSize: 57
Generation 243 | Revalues: 48890 | GridSize: 57
Generation 244 | Revalues: 49100 | GridSize: 55
Generation 245 | Revalues: 49292 | GridSize: 57
Generation 246 | Revalues: 49500 | GridSize: 55
Generation 247 | Revalues: 49684 | GridSize: 57
Generation 248 | Revalues: 49910 | GridSize: 57
Generation 249 | Revalues: 50114 | GridSize: 59
Generation 250 | Revalues: 50340 | GridSize: 59
Generation 251 | Revalues: 50520 | GridSize: 57
Generation 252 | Revalues: 50716 | GridSize: 57
Generation 253 | Revalues: 50934 | GridSize: 57
Generation 254 | Revalues: 51132 | GridSize: 55
Generation 255 | Revalues: 51348 | GridSize: 55
Generation 256 | Revalues: 51534 | GridSize: 55
Generation 257 | Revalues: 51718 | GridSize: 56
Generation 258 | Revalues: 51902 | GridSize: 58
Generation 259 | Revalues: 52124 | GridSize: 58
Generation 260 | Revalues: 52326 | GridSize: 58
Generation 261 | Revalues: 52538 | GridSize: 58
Generation 262 | Revalues: 52736 | GridSize: 57
Generation 263 | Revalues: 52914 | GridSize: 57
Generation 264 | Revalues: 53128 | GridSize: 57
Generation 265 | Revalues: 53342 | GridSize: 57
Generation 266 | Revalues: 53538 | GridSize: 58
Generation 267 | Revalues: 53728 | GridSize: 59
Generation 268 | Revalues: 53920 | GridSize: 59
Generation 269 | Revalues: 54108 | GridSize: 59
Generation 270 | Revalues: 54286 | GridSize: 59
Generation 271 | Revalues: 54492 | GridSize: 60
Generation 272 | Revalues: 54690 | GridSize: 60
Generation 273 | Revalues: 54910 | GridSize: 59
Generation 274 | Revalues: 55110 | GridSize: 60
Generation 275 | Revalues: 55330 | GridSize: 60
Generation 276 | Revalues: 55532 | GridSize: 61
Generation 277 | Revalues: 55734 | GridSize: 62
Generation 278 | Revalues: 55916 | GridSize: 62
Generation 279 | Revalues: 56114 | GridSize: 62
Generation 280 | Revalues: 56328 | GridSize: 63
Generation 281 | Revalues: 56536 | GridSize: 65
Generation 282 | Revalues: 56732 | GridSize: 63
Generation 283 | Revalues: 56922 | GridSize: 63
Generation 284 | Revalues: 57134 | GridSize: 63
Generation 285 | Revalues: 57338 | GridSize: 63
Generation 286 | Revalues: 57542 | GridSize: 63
Generation 287 | Revalues: 57758 | GridSize: 63
Generation 288 | Revalues: 57954 | GridSize: 63
Generation 289 | Revalues: 58142 | GridSize: 63
Generation 290 | Revalues: 58336 | GridSize: 63
Generation 291 | Revalues: 58560 | GridSize: 64
Generation 292 | Revalues: 58762 | GridSize: 65
Generation 293 | Revalues: 58978 | GridSize: 65
Generation 294 | Revalues: 59190 | GridSize: 65
Generation 295 | Revalues: 59412 | GridSize: 63
Generation 296 | Revalues: 59612 | GridSize: 63
Generation 297 | Revalues: 59794 | GridSize: 63
Generation 298 | Revalues: 59998 | GridSize: 63
Generation 299 | Revalues: 60192 | GridSize: 63
Generation 300 | Revalues: 60390 | GridSize: 62
Generation 301 | Revalues: 60604 | GridSize: 63
Generation 302 | Revalues: 60802 | GridSize: 63
Generation 303 | Revalues: 61012 | GridSize: 63
Generation 304 | Revalues: 61198 | GridSize: 63
Generation 305 | Revalues: 61400 | GridSize: 63
Generation 306 | Revalues: 61630 | GridSize: 63
Generation 307 | Revalues: 61852 | GridSize: 63
Generation 308 | Revalues: 62058 | GridSize: 63
Generation 309 | Revalues: 62264 | GridSize: 63
Generation 310 | Revalues: 62456 | GridSize: 64
Generation 311 | Revalues: 62644 | GridSize: 65
Generation 312 | Revalues: 62846 | GridSize: 65
Generation 313 | Revalues: 63034 | GridSize: 67
Generation 314 | Revalues: 63222 | GridSize: 68
Generation 315 | Revalues: 63426 | GridSize: 70
Generation 316 | Revalues: 63636 | GridSize: 70
Generation 317 | Revalues: 63856 | GridSize: 71
Generation 318 | Revalues: 64040 | GridSize: 71
Generation 319 | Revalues: 64240 | GridSize: 72
Generation 320 | Revalues: 64422 | GridSize: 72
Generation 321 | Revalues: 64616 | GridSize: 73
Generation 322 | Revalues: 64836 | GridSize: 74
Generation 323 | Revalues: 65018 | GridSize: 74
Generation 324 | Revalues: 65206 | GridSize: 74
Generation 325 | Revalues: 65408 | GridSize: 74
Generation 326 | Revalues: 65618 | GridSize: 74
Generation 327 | Revalues: 65808 | GridSize: 75
Generation 328 | Revalues: 65990 | GridSize: 75
Generation 329 | Revalues: 66196 | GridSize: 73
Generation 330 | Revalues: 66412 | GridSize: 73
Generation 331 | Revalues: 66596 | GridSize: 73
Generation 332 | Revalues: 66806 | GridSize: 74
Generation 333 | Revalues: 66974 | GridSize: 74
Generation 334 | Revalues: 67178 | GridSize: 74
Generation 335 | Revalues: 67366 | GridSize: 74
Generation 336 | Revalues: 67568 | GridSize: 74
Generation 337 | Revalues: 67760 | GridSize: 74
Generation 338 | Revalues: 67940 | GridSize: 74
Generation 339 | Revalues: 68128 | GridSize: 74
Generation 340 | Revalues: 68352 | GridSize: 72
Generation 341 | Revalues: 68564 | GridSize: 73
Generation 342 | Revalues: 68782 | GridSize: 70
Generation 343 | Revalues: 68960 | GridSize: 70
Generation 344 | Revalues: 69154 | GridSize: 71
Generation 345 | Revalues: 69360 | GridSize: 70
Generation 346 | Revalues: 69550 | GridSize: 70
Generation 347 | Revalues: 69750 | GridSize: 70
Generation 348 | Revalues: 69952 | GridSize: 70
Generation 349 | Revalues: 70176 | GridSize: 70
Generation 350 | Revalues: 70388 | GridSize: 70
Generation 351 | Revalues: 70620 | GridSize: 70
Generation 352 | Revalues: 70818 | GridSize: 69
Generation 353 | Revalues: 71016 | GridSize: 69
Generation 354 | Revalues: 71206 | GridSize: 69
Generation 355 | Revalues: 71406 | GridSize: 69
Generation 356 | Revalues: 71608 | GridSize: 69
Generation 357 | Revalues: 71812 | GridSize: 69
Generation 358 | Revalues: 72010 | GridSize: 69
Generation 359 | Revalues: 72222 | GridSize: 69
Generation 360 | Revalues: 72428 | GridSize: 70
Generation 361 | Revalues: 72600 | GridSize: 70
Generation 362 | Revalues: 72782 | GridSize: 70
Generation 363 | Revalues: 73008 | GridSize: 70
Generation 364 | Revalues: 73216 | GridSize: 70
Generation 365 | Revalues: 73404 | GridSize: 70
Generation 366 | Revalues: 73602 | GridSize: 70
Generation 367 | Revalues: 73820 | GridSize: 70
Generation 368 | Revalues: 74010 | GridSize: 70
Generation 369 | Revalues: 74188 | GridSize: 70
Generation 370 | Revalues: 74372 | GridSize: 70
Generation 371 | Revalues: 74590 | GridSize: 70
Generation 372 | Revalues: 74796 | GridSize: 70
Generation 373 | Revalues: 75006 | GridSize: 70
Generation 374 | Revalues: 75218 | GridSize: 70
Generation 375 | Revalues: 75438 | GridSize: 70
Generation 376 | Revalues: 75632 | GridSize: 70
Generation 377 | Revalues: 75840 | GridSize: 71
Generation 378 | Revalues: 76022 | GridSize: 71
Generation 379 | Revalues: 76250 | GridSize: 72
Generation 380 | Revalues: 76458 | GridSize: 72
Generation 381 | Revalues: 76642 | GridSize: 73
Generation 382 | Revalues: 76844 | GridSize: 73
Generation 383 | Revalues: 77064 | GridSize: 74
Generation 384 | Revalues: 77274 | GridSize: 74
Generation 385 | Revalues: 77470 | GridSize: 75
Generation 386 | Revalues: 77696 | GridSize: 75
Generation 387 | Revalues: 77900 | GridSize: 75
Generation 388 | Revalues: 78108 | GridSize: 74
Generation 389 | Revalues: 78310 | GridSize: 75
Generation 390 | Revalues: 78518 | GridSize: 74
Generation 391 | Revalues: 78716 | GridSize: 74
Generation 392 | Revalues: 78914 | GridSize: 75
Generation 393 | Revalues: 79154 | GridSize: 76
Generation 394 | Revalues: 79346 | GridSize: 76
Generation 395 | Revalues: 79560 | GridSize: 76
Generation 396 | Revalues: 79754 | GridSize: 77
Generation 397 | Revalues: 79986 | GridSize: 77
Generation 398 | Revalues: 80150 | GridSize: 75
Generation 399 | Revalues: 80354 | GridSize: 76
Generation 400 | Revalues: 80550 | GridSize: 77
Generation 401 | Revalues: 80760 | GridSize: 75
Generation 402 | Revalues: 80952 | GridSize: 75
Generation 403 | Revalues: 81174 | GridSize: 75
Generation 404 | Revalues: 81378 | GridSize: 75
Generation 405 | Revalues: 81572 | GridSize: 76
Generation 406 | Revalues: 81764 | GridSize: 75
Generation 407 | Revalues: 81988 | GridSize: 76
Generation 408 | Revalues: 82200 | GridSize: 77
Generation 409 | Revalues: 82396 | GridSize: 77
Generation 410 | Revalues: 82578 | GridSize: 77
Generation 411 | Revalues: 82776 | GridSize: 77
Generation 412 | Revalues: 82950 | GridSize: 77
Generation 413 | Revalues: 83148 | GridSize: 77
Generation 414 | Revalues: 83328 | GridSize: 79
Generation 415 | Revalues: 83546 | GridSize: 79
Generation 416 | Revalues: 83754 | GridSize: 79
Generation 417 | Revalues: 83964 | GridSize: 80
Generation 418 | Revalues: 84174 | GridSize: 82
Generation 419 | Revalues: 84380 | GridSize: 81
Generation 420 | Revalues: 84572 | GridSize: 83
Generation 421 | Revalues: 84782 | GridSize: 82
Generation 422 | Revalues: 84984 | GridSize: 82
Generation 423 | Revalues: 85184 | GridSize: 83
Generation 424 | Revalues: 85384 | GridSize: 83
Generation 425 | Revalues: 85566 | GridSize: 83
Generation 426 | Revalues: 85746 | GridSize: 84
Generation 427 | Revalues: 85946 | GridSize: 85
Generation 428 | Revalues: 86144 | GridSize: 85
Generation 429 | Revalues: 86338 | GridSize: 85
Generation 430 | Revalues: 86524 | GridSize: 82
Generation 431 | Revalues: 86724 | GridSize: 82
Generation 432 | Revalues: 86916 | GridSize: 82
Generation 433 | Revalues: 87120 | GridSize: 81
Generation 434 | Revalues: 87330 | GridSize: 82
Generation 435 | Revalues: 87528 | GridSize: 81
Generation 436 | Revalues: 87726 | GridSize: 82
Generation 437 | Revalues: 87928 | GridSize: 83
Generation 438 | Revalues: 88146 | GridSize: 84
Generation 439 | Revalues: 88336 | GridSize: 85
Generation 440 | Revalues: 88522 | GridSize: 84
Generation 441 | Revalues: 88718 | GridSize: 84
Generation 442 | Revalues: 88926 | GridSize: 83
Generation 443 | Revalues: 89118 | GridSize: 83
Generation 444 | Revalues: 89318 | GridSize: 84
Generation 445 | Revalues: 89512 | GridSize: 84
Generation 446 | Revalues: 89704 | GridSize: 85
Generation 447 | Revalues: 89898 | GridSize: 85
Generation 448 | Revalues: 90096 | GridSize: 85
Generation 449 | Revalues: 90302 | GridSize: 85
Generation 450 | Revalues: 90518 | GridSize: 83
Generation 451 | Revalues: 90744 | GridSize: 83
Generation 452 | Revalues: 90950 | GridSize: 83
Generation 453 | Revalues: 91160 | GridSize: 83
Generation 454 | Revalues: 91352 | GridSize: 78
Generation 455 | Revalues: 91542 | GridSize: 78
Generation 456 | Revalues: 91746 | GridSize: 79
Generation 457 | Revalues: 91920 | GridSize: 79
Generation 458 | Revalues: 92128 | GridSize: 81
Generation 459 | Revalues: 92330 | GridSize: 82
Generation 460 | Revalues: 92534 | GridSize: 82
Generation 461 | Revalues: 92732 | GridSize: 82
Generation 462 | Revalues: 92922 | GridSize: 83
Generation 463 | Revalues: 93130 | GridSize: 83
Generation 464 | Revalues: 93338 | GridSize: 83
Generation 465 | Revalues: 93546 | GridSize: 83
Generation 466 | Revalues: 93722 | GridSize: 84
Generation 467 | Revalues: 93926 | GridSize: 84
Generation 468 | Revalues: 94132 | GridSize: 84
Generation 469 | Revalues: 94342 | GridSize: 84
