instance,algo,run_id,angle,wind,source
ns510,moead,1,120.000000000000,9.000000000000,replayed_from_nsga2
ns510,moead,2,60.000000000000,3.000000000000,replayed_from_nsga2
ns510,moead,3,150.000000000000,3.000000000000,replayed_from_nsga2
ns510,moead,4,120.000000000000,5.000000000000,replayed_from_nsga2
ns510,moead,5,270.000000000000,9.000000000000,replayed_from_nsga2
ns510,moead,6,330.000000000000,21.000000000000,replayed_from_nsga2
ns510,moead,7,30.000000000000,7.000000000000,replayed_from_nsga2
ns510,moead,8,240.000000000000,15.000000000000,replayed_from_nsga2
ns510,moead,9,270.000000000000,9.000000000000,replayed_from_nsga2
ns510,moead,10,330.000000000000,11.000000000000,replayed_from_nsga2
ns510,moead,11,330.000000000000,7.000000000000,replayed_from_nsga2
ns510,moead,12,300.000000000000,17.000000000000,replayed_from_nsga2
ns510,moead,13,270.000000000000,11.000000000000,replayed_from_nsga2
ns510,moead,14,90.000000000000,11.000000000000,replayed_from_nsga2
ns510,moead,15,330.000000000000,5.000000000000,replayed_from_nsga2
ns510,moead,16,300.000000000000,5.000000000000,replayed_from_nsga2
ns510,moead,17,270.000000000000,15.000000000000,replayed_from_nsga2
ns510,moead,18,150.000000000000,13.000000000000,replayed_from_nsga2
ns510,moead,19,60.000000000000,11.000000000000,replayed_from_nsga2
ns511,moead,0,330.000000000000,7.000000000000,replayed_from_nsga2
ns511,moead,1,330.000000000000,7.000000000000,replayed_from_nsga2
ns511,moead,2,210.000000000000,19.000000000000,replayed_from_nsga2
ns511,moead,3,90.000000000000,11.000000000000,replayed_from_nsga2
ns511,moead,4,90.000000000000,5.000000000000,replayed_from_nsga2
ns511,moead,5,120.000000000000,15.000000000000,replayed_from_nsga2
ns511,moead,6,210.000000000000,17.000000000000,replayed_from_nsga2
ns511,moead,7,240.000000000000,11.000000000000,replayed_from_nsga2
ns511,moead,8,240.000000000000,13.000000000000,replayed_from_nsga2
ns511,moead,9,300.000000000000,5.000000000000,replayed_from_nsga2
ns511,moead,10,150.000000000000,17.000000000000,replayed_from_nsga2
ns511,moead,11,300.000000000000,9.000000000000,replayed_from_nsga2
ns511,moead,12,300.000000000000,7.000000000000,replayed_from_nsga2
ns511,moead,13,210.000000000000,19.000000000000,replayed_from_nsga2
ns511,moead,14,330.000000000000,17.000000000000,replayed_from_nsga2
ns511,moead,15,300.000000000000,19.000000000000,replayed_from_nsga2
ns511,moead,16,210.000000000000,15.000000000000,replayed_from_nsga2
ns511,moead,17,150.000000000000,9.000000000000,replayed_from_nsga2
ns511,moead,18,120.000000000000,1.000000000000,replayed_from_nsga2
ns511,moead,19,240.000000000000,9.000000000000,replayed_from_nsga2
ns512,moead,0,330.000000000000,15.000000000000,replayed_from_nsga2
ns512,moead,1,300.000000000000,21.000000000000,replayed_from_nsga2
ns512,moead,2,30.000000000000,11.000000000000,replayed_from_nsga2
ns512,moead,3,270.000000000000,7.000000000000,replayed_from_nsga2
ns512,moead,4,0.000000000000,15.000000000000,replayed_from_nsga2
ns512,moead,5,0.000000000000,7.000000000000,replayed_from_nsga2
ns512,moead,6,240.000000000000,7.000000000000,replayed_from_nsga2
ns512,moead,7,180.000000000000,7.000000000000,replayed_from_nsga2
ns512,moead,8,90.000000000000,13.000000000000,replayed_from_nsga2
ns512,moead,9,210.000000000000,15.000000000000,replayed_from_nsga2
ns512,moead,10,0.000000000000,1.000000000000,replayed_from_nsga2
